date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,MRK,2020-05-06,2020-05-06 16:36:54,Q1,12057000000,3312000000,8745000000,0.7253048021895994,2209000000,2555000000,0.0,0.0,4764000000,8076000000,212000000,821000000,4659000000,0.386414530978,3838000000,0.318321307124,0.0,3838000000,0.318321307124,619000000,3219000000,0.266981836278,1.27,1.26,2533000000,2547000000,https://www.sec.gov/Archives/edgar/data/310158/000031015820000009/0000310158-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015820000009/mrk0331202010q.htm
2019-12-31,MRK,2020-02-26,2020-02-26 16:36:07,FY,11868000000,3669000000,8199000000,0.6908493427704753,2548000000,2889000000,0.0,139000000,5437000000,9106000000,219000000,936000000,3727000000,0.314037748568,2791000000,0.235170205595,139000000,2791000000,0.235170205595,428000000,2356000000,0.198517020559,0.93,0.92,2565000000,2580000000,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/0000310158-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/mrk1231201910k.htm
2019-09-30,MRK,2019-11-05,2019-11-05 16:43:01,Q3,12397000000,3990000000,8407000000,0.6781479390175043,3205000000,2588000000,0.0,362000000,5793000000,9783000000,232000000,845000000,3192000000,0.257481648786,2347000000,0.189319996773,362000000,2347000000,0.189319996773,439000000,1902000000,0.153424215536,0.74,0.74,2572000000,2587000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000042/0000310158-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000042/mrk0930201910q.htm
2019-06-30,MRK,2019-08-06,2019-08-06 16:34:49,Q2,11759000000,3401000000,8358000000,0.7107747257419849,2188000000,2713000000,0.0,327000000,4901000000,8302000000,233000000,973000000,4232000000,0.359894548856,3259000000,0.277149417467,327000000,3259000000,0.277149417467,615000000,2670000000,0.22706012416,1.04,1.03,2579000000,2596000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000037/0000310158-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000037/mrk0630201910q.htm
2019-03-31,MRK,2019-05-08,2019-05-08 16:34:31,Q1,10816000000,3052000000,7764000000,0.7178254437869822,1931000000,2425000000,0.0,188000000,4356000000,7408000000,209000000,898000000,3965000000,0.366586538462,3067000000,0.283561390533,188000000,3067000000,0.283561390533,205000000,2915000000,0.269508136095,1.13,1.12,2585000000,2603000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000019/0000310158-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000019/mrk0331201910q.htm
2018-12-31,MRK,2019-02-27,2019-02-27 16:36:42,FY,10998000000,3289000000,7709000000,0.7009456264775413,2214000000,2643000000,0.0,-402000000,4857000000,8146000000,203000000,1095000000,3699000000,0.336333878887,2604000000,0.236770321877,-402000000,2604000000,0.236770321877,826000000,1827000000,0.16612111293,0.7,0.69,2664000000,2679000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/0000310158-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/mrk1231201810k.htm
2018-09-30,MRK,2018-11-06,2018-11-06 16:14:11,Q3,10794000000,3619000000,7175000000,0.6647211413748378,2068000000,2443000000,7459000000,-512000000,4511000000,8130000000,190000000,1061000000,3726000000,0.345191773207,2665000000,0.246896423939,-512000000,2665000000,0.246896423939,707000000,1950000000,0.180655919956,0.73,0.73,2680000000,2694000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000039/0000310158-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000039/mrk0930201810q.htm
2018-06-30,MRK,2018-08-07,2018-08-07 16:32:58,Q2,10465000000,3417000000,7048000000,0.67348303870043,2274000000,2508000000,5016000000,-340000000,4782000000,8199000000,194000000,1226000000,3313000000,0.316579073101,2087000000,0.199426660296,-340000000,2087000000,0.199426660296,371000000,1707000000,0.163115145724,0.64,0.63,2689000000,2702000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000034/0000310158-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000034/mrk0630201810q.htm
2018-03-31,MRK,2018-05-08,2018-05-08 16:31:56,Q1,10037000000,3184000000,6853000000,0.6827737371724619,3196000000,2508000000,2508000000,-291000000,5704000000,8888000000,185000000,1137000000,2482000000,0.247285045332,1345000000,0.134004184517,-291000000,1345000000,0.134004184517,604000000,736000000,0.0733286838697,0.27,0.27,2695000000,2710000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000011/0000310158-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000011/mrk0331201810q.htm
2017-12-31,MRK,2018-02-27,2018-02-27 16:33:07,FY,10433000000,3406000000,7027000000,0.6735358957155181,2281000000,2579000000,9830000000,12000000,4860000000,8266000000,190000000,1128000000,3007000000,0.288220070929,1879000000,0.18010160069,12000000,1879000000,0.18010160069,2917000000,2418000000,-0.100258794211,-0.38,-0.38,2730000000,2748000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/0000310158-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/mrk1231201710k.htm
2017-09-30,MRK,2017-11-07,2017-11-07 16:38:23,Q3,10324000000,3274000000,7050000000,0.6828748547074778,4382000000,2402000000,7251000000,30000000,6784000000,10058000000,189000000,1154000000,1354000000,0.131150716776,200000000,0.0193723363038,30000000,200000000,0.0193723363038,251000000,4642000000,-0.00542425416505,-0.02,-0.02,2735000000,2754000000,https://www.sec.gov/Archives/edgar/data/310158/000031015817000045/0000310158-17-000045-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015817000045/mrk0930201710q.htm
2017-06-30,MRK,2017-08-08,2017-08-08 16:39:40,Q2,9931000000,3080000000,6851000000,0.68986003423623,1749000000,2438000000,4849000000,117000000,4187000000,7267000000,193000000,1162000000,3601000000,0.362601953479,2439000000,0.245594602759,117000000,2439000000,0.245594602759,488000000,1945000000,0.195851374484,0.72,0.71,2739000000,2759000000,https://www.sec.gov/Archives/edgar/data/310158/000031015817000037/0000310158-17-000037-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015817000037/mrk0630201710q.htm
