date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2019-12-31,MS,2020-02-27,2020-02-27 16:34:27,FY,10857000000,0.0,10857000000,1.0,567000000,5228000000,0.0,0.0,5795000000,5795000000,2519000000,656000000,3389000000,0.312148844064,2733000000,0.251726996408,0.0,2733000000,0.251726996408,428000000,2239000000,0.206226397716,1.32,1.3,1617000000,1640000000,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/0000895421-20-000265-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/msq4201910k.htm
2019-09-30,MS,2019-11-05,2019-11-05 16:28:57,Q3,10032000000,0.0,10032000000,1.0,557000000,4427000000,0.0,0.0,4984000000,4984000000,3132000000,654000000,3364000000,0.335326953748,2710000000,0.270135566188,0.0,2710000000,0.270135566188,492000000,2173000000,0.216606858054,1.29,1.27,1632000000,1653000000,https://www.sec.gov/Archives/edgar/data/895421/000162828019013331/0001628280-19-013331-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000162828019013331/msq30930201910-q.htm
2019-06-30,MS,2019-08-05,2019-08-05 16:33:42,Q2,10244000000,0.0,10244000000,1.0,538000000,4531000000,0.0,0.0,5069000000,5069000000,3477000000,675000000,3578000000,0.349277625927,2903000000,0.28338539633,0.0,2903000000,0.28338539633,657000000,2201000000,0.214857477548,1.24,1.23,1646000000,1666000000,https://www.sec.gov/Archives/edgar/data/895421/000162828019009973/0001628280-19-009973-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000162828019009973/msq20630201910-q.htm
2019-03-31,MS,2019-05-03,2019-05-03 16:08:33,Q1,10286000000,0.0,10286000000,1.0,532000000,4651000000,0.0,0.0,5183000000,5183000000,3276000000,658000000,3613000000,0.35125413183,2955000000,0.287283686564,0.0,2955000000,0.287283686564,487000000,2429000000,0.236146218161,1.41,1.39,1658000000,1677000000,https://www.sec.gov/Archives/edgar/data/895421/000119312519136929/0001193125-19-136929-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312519136929/d673523d10q.htm
2018-12-31,MS,2019-02-26,2019-02-26 16:12:52,FY,8548000000,0.0,8548000000,1.0,529000000,3787000000,0.0,0.0,4316000000,4316000000,3122000000,469000000,2326000000,0.27211043519,1857000000,0.217243799719,0.0,1857000000,0.217243799719,300000000,1531000000,0.179106223678,0.82,0.81,1708000000,1738000000,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/0001193125-19-051943-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/d707577d10k.htm
2018-09-30,MS,2018-11-05,2018-11-05 16:15:28,Q3,9872000000,0.0,9872000000,1.0,513000000,4310000000,0.0,0.0,4823000000,4823000000,2691000000,468000000,3319000000,0.336203403566,2851000000,0.288796596434,0.0,2851000000,0.288796596434,696000000,2112000000,0.213938411669,1.19,1.17,1719000000,1749000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518318377/0001193125-18-318377-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518318377/d645593d10q.htm
2018-06-30,MS,2018-08-03,2018-08-03 16:14:25,Q2,10610000000,0.0,10610000000,1.0,496000000,4621000000,0.0,0.0,5117000000,5117000000,2388000000,517000000,3626000000,0.341753063148,3109000000,0.293025447691,0.0,3109000000,0.293025447691,640000000,2437000000,0.229688972667,1.32,1.3,1730000000,1760000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518238269/0001193125-18-238269-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518238269/d576100d10q.htm
2018-03-31,MS,2018-05-04,2018-05-04 16:43:45,Q1,11077000000,0.0,11077000000,1.0,478000000,4914000000,0.0,0.0,5392000000,5392000000,1885000000,390000000,3810000000,0.34395594475,3420000000,0.308747855918,0.0,3420000000,0.308747855918,714000000,2668000000,0.240859438476,1.48,1.45,1740000000,1771000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518152899/0001193125-18-152899-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518152899/d556270d10q.htm
2017-12-31,MS,2018-02-27,2018-02-27 16:09:47,FY,9500000000,0.0,9500000000,1.0,471000000,4279000000,0.0,0.0,4750000000,4750000000,1591000000,413000000,2884000000,0.303578947368,2471000000,0.260105263158,0.0,2471000000,0.260105263158,1810000000,643000000,0.0676842105263,0.28,0.28,1780000000,1821000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518060831/0001193125-18-060831-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518060831/d500533d10k.htm
2017-09-30,MS,2017-11-03,2017-11-03 07:37:45,Q3,9197000000,0.0,9197000000,1.0,459000000,4169000000,0.0,0.0,4628000000,4628000000,1557000000,451000000,2933000000,0.318908339676,2482000000,0.269870609982,0.0,2482000000,0.269870609982,697000000,1781000000,0.193650103295,0.95,0.92,1789000000,1830000000,https://www.sec.gov/Archives/edgar/data/895421/000119312517331902/0001193125-17-331902-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312517331902/d437627d10q.htm
