date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,NEE,2020-04-23,2020-04-23 16:01:38,Q1,4613000000,821000000,3792000000,0.8220247127682636,0.0,0.0,0.0,2632000000,2632000000,3453000000,1311000000,848000000,2829000000,0.6132668545415131,1981000000,0.4294385432473445,406000000,73000000,0.01582484283546499,-235000000,308000000,0.06676783004552352,0.86,0.86,358139534,358139534,https://www.sec.gov/Archives/edgar/data/753308/000075330820000113/0000753308-20-000113-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330820000113/nee10q1q2020.htm
2019-12-31,NEE,2020-02-14,2020-02-14 15:24:19,FY,4588000000,1055000000,3533000000,0.770052310374891,0.0,0.0,0.0,3711000000,3711000000,4766000000,188000000,969000000,1846000000,0.4023539668700959,877000000,0.19115082824760243,310000000,1036000000,0.22580645161290322,448000000,844000000,0.1839581517000872,7.82,7.82,433248081,433248081,https://www.sec.gov/Archives/edgar/data/753308/000075330820000021/0000753308-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330820000021/nee-12312019x10k.htm
2019-09-30,NEE,2019-10-23,2019-10-23 15:02:01,Q3,5572000000,1267000000,4305000000,0.7726130653266332,0.0,0.0,0.0,3978000000,3978000000,3978000000,-6000000.0,1313000000,2907000000,0.521715721464,1594000000,0.286073223259,575000000,857000000,0.153804737976,58000000,880000000,0.157932519742,1.82,1.81,479700000,483500000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000207/0000753308-19-000207-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000207/nee10q3q2019.htm
2019-06-30,NEE,2019-07-24,2019-07-24 17:11:43,Q2,4969000000,1074000000,3895000000,0.7838599315757697,0.0,0.0,0.0,3222000000,3222000000,3222000000,-6000000.0,1262000000,3009000000,0.605554437513,1747000000,0.351579794727,416000000,1263000000,0.254175890521,124000000,1234000000,0.248339706178,2.58,2.56,478600000,482300000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000165/0000753308-19-000165-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000165/nee10q2q2019.htm
2019-03-31,NEE,2019-04-23,2019-04-23 17:18:57,Q1,4075000000,967000000,3108000000,0.7626993865030675,0.0,0.0,0.0,2940000000,2940000000,2940000000,-12000000,862000000,1997000000,0.490061349693,1135000000,0.278527607362,396000000,680000000,0.166871165644,74000000,680000000,0.166871165644,1.42,1.41,478300000,481800000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000118/0000753308-19-000118-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000118/nee10q1q2019.htm
2018-12-31,NEE,2019-02-15,2019-02-15 17:22:00,FY,4376000000,936000000,3440000000,0.7861060329067642,0.0,0.0,0.0,3275000000,3275000000,3275000000,-5000000.0,1152000000,2253000000,0.514853747715,1101000000,0.251599634369,360000000,272000000,0.0621572212066,1576000000,409000000,0.0934643510055,0.82,0.85,473200000,477000000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000039/0000753308-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000039/nee-12312018x10k.htm
2018-09-30,NEE,2018-10-23,2018-10-23 16:23:56,Q3,4419000000,1083000000,3336000000,0.7549219280380176,0.0,0.0,0.0,3449000000,3449000000,3449000000,-8000000.0,1180000000,2150000000,0.486535415252,970000000,0.219506675718,99000000,1069000000,0.241909934374,126000000,1006000000,0.22765331523,2.12,2.08,471700000,475600000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000159/0000753308-18-000159-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000159/nee10q3q2018singlesource.htm
2018-06-30,NEE,2018-07-25,2018-07-25 16:10:31,Q2,4069000000,894000000,3175000000,0.7802899975423937,0.0,0.0,0.0,2907000000,2907000000,2907000000,-8000000.0,891000000,2053000000,0.504546571639,1162000000,0.285573851069,371000000,931000000,0.228803145736,230000000,795000000,0.195379700172,1.68,1.63,470900000,474700000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000114/0000753308-18-000114-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000114/nee10q2q2018singlesource.htm
2018-03-31,NEE,2018-04-24,2018-04-24 16:49:33,Q1,3863000000,819000000,3044000000,0.7879886098886876,0.0,0.0,0.0,2816000000,2816000000,2816000000,-9000000.0,924000000,1971000000,0.510225213565,1047000000,0.271032876003,4033000000,5080000000,1.31504012426,1249000000,4428000000,1.1462593839,9.41,9.32,470700000,474300000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000081/0000753308-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000081/nee10q1q2018.htm
2017-12-31,NEE,2018-02-16,2018-02-16 15:44:58,FY,4010000000,978000000,3032000000,0.7561097256857855,0.0,0.0,0.0,3774000000,3774000000,3774000000,-12000000,-157000000,79000000,0.0197007481297,236000000,0.0588528678304,340000000,86000000,0.0214463840399,-653000000,2155000000,0.537406483791,4.59,4.55,468800000,472500000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000013/0000753308-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000013/nee-12312017x10k.htm
