date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-02-29,NKE,2020-04-07,2020-04-07 16:07:19,Q3,10104000000,5631000000,4473000000,0.4426959619952494,0.0,3283000000,3283000000,297000000,3283000000,8914000000,0.0,534000000,1743000000,0.172505938242,1209000000,0.119655581948,297000000,881000000,0.0871931908155,34000000,847000000,0.0838281868567,0.54,0.53,1559800000,1594600000,https://www.sec.gov/Archives/edgar/data/320187/000032018720000018/0000320187-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000018/nke-229202010q.htm
2019-11-30,NKE,2020-01-07,2020-01-07 16:03:25,Q2,10326000000,5782000000,4544000000,0.4400542320356382,0.0,3324000000,3324000000,-41000000,3324000000,9106000000,0.0,187000000,1302000000,0.126089482859,1115000000,0.107979856672,-41000000,1249000000,0.120956808057,134000000,1115000000,0.107979856672,0.72,0.7,1561500000,1596000000,https://www.sec.gov/Archives/edgar/data/320187/000032018720000004/0000320187-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000004/nke-1130201910q.htm
2019-08-31,NKE,2019-10-04,2019-10-04 16:05:38,Q1,10660000000,5789000000,4871000000,0.4569418386491557,0.0,3328000000,3328000000,-33000000,3328000000,9117000000,0.0,175000000,1542000000,0.144652908068,1367000000,0.128236397749,-33000000,1561000000,0.14643527204502815,194000000,1367000000,0.128236397749,0.87,0.86,1562400000,1597500000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000071/0000320187-19-000071-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000071/nke-831201910q.htm
2019-05-31,NKE,2019-07-23,2019-07-23 16:13:55,FY,10184000000,5551000000,4633000000,0.45492930086410055,0.0,3406000000,3406000000,-28000000,3406000000,8957000000,0.0,184000000,1427000000,0.140121759623,1243000000,0.122054202671,-28000000,1243000000,0.122054202671,254000000,989000000,0.0971131186174,0.63,0.62,1579700000,1618400000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm
2019-02-28,NKE,2019-04-04,2019-04-04 16:07:14,Q3,9611000000,5272000000,4339000000,0.4514618666111747,0.0,3091000000,3091000000,-55000000,3091000000,8363000000,0.0,177000000,1468000000,0.152741650192,1291000000,0.134325252315,-55000000,1291000000,0.134325252315,190000000,1101000000,0.114556237644,0.7,0.68,1582800000,1621500000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000030/0000320187-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000030/nke-02282019x10q.htm
2018-11-30,NKE,2019-01-08,2019-01-08 16:08:39,Q2,9374000000,5269000000,4105000000,0.43791337742692554,0.0,3142000000,3142000000,-48000000,3142000000,8411000000,0.0,178000000,1175000000,0.125346703648,997000000,0.106358011521,-48000000,997000000,0.106358011521,150000000,847000000,0.0903563046725,0.53,0.52,1587700000,1627200000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000007/0000320187-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000007/nke-11302018x10q.htm
2018-08-31,NKE,2018-10-05,2018-10-05 16:28:22,Q1,9948000000,5551000000,4397000000,0.44199839163650984,0.0,3063000000,3063000000,53000000,3063000000,8614000000,0.0,181000000,1451000000,0.145858464013,1270000000,0.127663852031,53000000,1270000000,0.127663852031,178000000,1092000000,0.109770808203,0.69,0.67,1594000000,1634400000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000213/0000320187-18-000213-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000213/nke-08312018x10q.htm
2018-05-31,NKE,2018-07-25,2018-07-24 18:22:39,FY,9789000000,5411000000,4378000000,0.4472366942486464,0.0,3120000000,3120000000,31000000,3120000000,8531000000,0.0,200000000,1415000000,0.144550005108,1215000000,0.124118908979,31000000,1215000000,0.124118908979,78000000,1137000000,0.116150781489,0.7,0.69,1623800000,1659100000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/nke-5312018x10k.htm
2018-02-28,NKE,2018-04-05,2018-04-05 16:10:22,Q3,8984000000,5046000000,3938000000,0.4383348174532502,0.0,2767000000,2767000000,-1000000.0,2767000000,7813000000,0.0,198000000,1357000000,0.151046304541,1159000000,0.129007123776,-1000000.0,1159000000,0.129007123776,2080000000,-921000000,-0.10251558325912734,-0.56,-0.55,1629900000,1665700000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000041/0000320187-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000041/nke-02282018x10q.htm
2017-11-30,NKE,2018-01-05,2018-01-05 16:11:45,Q2,8554000000,4876000000,3678000000,0.4299742810381108,0.0,2768000000,2768000000,18000000,2768000000,7644000000,0.0,191000000,1070000000,0.125087678279,879000000,0.102758943184,18000000,879000000,0.102758943184,112000000,767000000,0.0896656534954,0.47,0.46,1633100000,1669100000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000007/0000320187-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000007/nke-11302017x10q.htm
2017-08-31,NKE,2017-10-06,2017-10-06 16:17:00,Q1,9070000000,5108000000,3962000000,0.4368246968026461,0.0,2856000000,2856000000,18000000,2856000000,7964000000,0.0,185000000,1257000000,0.138588754135,1072000000,0.118191841235,18000000,1072000000,0.118191841235,122000000,950000000,0.104740904079,0.58,0.57,1639100000,1676900000,https://www.sec.gov/Archives/edgar/data/320187/000032018717000184/0000320187-17-000184-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018717000184/nke-08312017x10q.htm
