date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-02-29,ORCL,2020-03-13,2020-03-13 16:21:31,Q3,9797000000,0.0,9797000000,1.0,1500000000,288000000,2049000000,1964000000,5801000000,6269000000,457000000,748000000,4276000000,0.436460140859,3528000000,0.360110237828,0.0,3075000000,0.313871593345,504000000,2571000000,0.262427273655,0.8,0.78,3251000000,3337000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459020010833/0001564590-20-010833-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459020010833/orcl-10q_20200229.htm
2019-11-30,ORCL,2019-12-13,2019-12-13 16:22:03,Q2,9614000000,0.0,9614000000,1.0,1531000000,323000000,2068000000,2048000000,5970000000,6431000000,465000000,748000000,3931000000,0.408882879135,3183000000,0.331079675473,0.0,2810000000,0.292282088621,499000000,2311000000,0.24037861452,0.72,0.69,3281000000,3370000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019045966/0001564590-19-045966-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019045966/orcl-10q_20191130.htm
2019-08-31,ORCL,2019-09-13,2019-09-13 16:22:37,Q1,9218000000,0.0,9218000000,1.0,1557000000,292000000,2018000000,1957000000,5824000000,6341000000,494000000,750000000,3627000000,0.393469299197,2877000000,0.312106747668,0.0,2482000000,0.2692558038620091,345000000,2137000000,0.231829030158,0.64,0.63,3317000000,3410000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019034717/0001564590-19-034717-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019034717/orcl-10q_20190831.htm
2019-05-31,ORCL,2019-06-21,2019-06-21 16:29:05,FY,11137000000,0.0,11137000000,1.0,1562000000,330000000,2318000000,2063000000,6273000000,6880000000,525000000,754000000,5011000000,0.449941635988,4257000000,0.382239382239,0.0,3866000000,0.3471311843404867,126000000,3740000000,0.33581754512,1.07,1.04,3634000000,3732000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/0001564590-19-023119-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/orcl-10k_20190531.htm
2019-02-28,ORCL,2019-03-18,2019-03-18 16:12:45,Q3,9614000000,0.0,9614000000,1.0,1425000000,316000000,2051000000,1976000000,5768000000,6214000000,509000000,741000000,4141000000,0.430726024548,3400000000,0.353650925733,0.0,3088000000,0.321198252548,343000000,2745000000,0.285521115041,0.77,0.75,3716000000,3811000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/0001564590-19-008273-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/orcl-10q_20190228.htm
2018-11-30,ORCL,2018-12-19,2018-12-19 16:15:00,Q2,9562000000,3735000000,5827000000,0.6093913407236979,1475000000,298000000,2101000000,2003000000,5877000000,6462000000,519000000,704000000,3804000000,0.397824722861,3100000000,0.324199958168,-291000000,2774000000,0.290106672244,441000000,2333000000,0.243986613679,0.63,0.61,3812000000,3908000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459018031113/0001564590-18-031113-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459018031113/orcl-10q_20181130.htm
2018-08-31,ORCL,2018-09-19,2018-09-19 16:53:42,Q1,9193000000,3735000000,5458000000,0.5937126074186881,1564000000,321000000,2039000000,1953000000,5877000000,6415000000,529000000,720000000,3498000000,0.38050690743,2778000000,0.302186446209,291000000,2540000000,0.276297182639,275000000,2265000000,0.246383117589,0.58,0.57,3904000000,3999000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459018023315/0001564590-18-023315-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459018023315/orcl-10q_20180831.htm
2018-05-31,ORCL,2018-06-22,2018-06-22 16:09:07,FY,11252000000,754000000,10498000000,0.9329896907216495,1544000000,307000000,2325000000,2163000000,6339000000,6872000000,548000000,702000000,5082000000,0.45165303946,4380000000,0.389264130821,308000000,4140000000,0.367934589406,733000000,3407000000,0.302790615002,0.83,0.8,4121000000,4238000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/0001193125-18-201034-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/d568983d10k.htm
2018-02-28,ORCL,2018-03-21,2018-03-21 16:12:09,Q3,9770000000,712000000,9058000000,0.9271238485158649,1498000000,340000000,2032000000,1068000000,4938000000,6361000000,533000000,699000000,4108000000,0.420470829069,3409000000,0.348925281474,424000000,3300000000,0.337768679632,7324000000,-4024000000,-0.4118730808597748,-0.97,-0.94,4146000000,4268000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312518090646/0001193125-18-090646-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312518090646/d548579d10q.htm
2017-11-30,ORCL,2017-12-18,2017-12-18 17:03:58,Q2,9622000000,720000000,8902000000,0.92517148202037,1475000000,322000000,2082000000,988000000,4867000000,6553000000,475000000,688000000,3757000000,0.390459363958,3069000000,0.318956557888,272000000,2866000000,0.297859072958,634000000,2232000000,0.231968405737,0.54,0.52,4158000000,4283000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312517372232/0001193125-17-372232-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312517372232/d510241d10q.htm
