date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,OXY,2020-05-06,2020-05-06 08:58:13,Q1,6410000000,612000000,5798000000,0.9045241809672387,37000000,260000000,0.0,786000000,297000000,909000000,352000000,2242000000,865000000,0.134945397816,-2013000000,-287.57142857142856,34000000,-1377000000,-196.71428571428572,82000000,-2013000000,-287.57142857142856,-2.49,-2.49,896700000,896700000,https://www.sec.gov/Archives/edgar/data/797468/000079746820000010/0000797468-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746820000010/oxy-20200331.htm
2019-12-31,OXY,2020-02-28,2020-02-27 21:59:03,FY,6282000000,745000000,5537000000,0.8814071951607768,112000000,882000000,0.0,2364000000,112000000,857000000,434000000,2271000000,916000000,0.145813435212,-507000000,-0.815112540192926,365000000,-420000000,-0.6752411575562701,46000000,-522000000,-0.8392282958199357,-1.67,-1.67,809500000,809500000,https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/0000797468-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/oxy10k12-31x2019.htm
2019-09-30,OXY,2019-11-04,2019-11-04 17:09:33,Q3,5687000000,685000000,5002000000,0.8795498505363109,63000000,242000000,0.0,1584000000,27000000,1141000000,381000000,1706000000,1014000000,0.178301389133,-1098000000,-0.18702095043433828,241000000,-692000000,-0.11786748424459206,116000000,-752000000,-0.12808720831204223,-1.23,-1.23,781100000,782200000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/0000797468-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/oxyform10q93019.htm
2019-06-30,OXY,2019-07-31,2019-07-31 17:04:40,Q2,4420000000,1386000000,3034000000,0.6864253393665158,35000000,163000000,0.0,36000000,71000000,1457000000,153000000,1031000000,1875000000,0.424208144796,844000000,0.190950226244,41000000,844000000,0.190950226244,306000000,635000000,0.143665158371,0.84,0.84,748700000,750000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000012/0000797468-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000012/oxyform10q63019.htm
2019-03-31,OXY,2019-05-06,2019-05-06 17:04:39,Q1,4004000000,1345000000,2659000000,0.6640859140859141,36000000,140000000,0.0,98000000,36000000,1381000000,98000000,973000000,1756000000,0.438561438561,783000000,0.195554445554,78000000,783000000,0.195554445554,225000000,631000000,0.157592407592,0.84,0.84,748900000,750500000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000007/0000797468-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000007/oxyform10q33119.htm
2018-12-31,OXY,2019-02-21,2019-02-21 17:29:15,FY,4762000000,1954000000,2808000000,0.5896682066358673,50000000,473000000,0.0,473000000,50000000,2004000000,99000000,1086000000,1815000000,0.381142377152,729000000,0.153086938261,35000000,729000000,0.153086938261,126000000,706000000,0.148257034859,0.94,0.94,761700000,763300000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/0000797468-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/oxy10k12-31x2018.htm
2018-09-30,OXY,2018-11-05,2018-11-05 16:27:58,Q3,5216000000,1786000000,3430000000,0.6575920245398773,24000000,431000000,0.0,431000000,24000000,1810000000,96000000,1023000000,3515000000,0.67388803681,2492000000,0.477760736196,34000000,2492000000,0.477760736196,710000000,1869000000,0.358320552147,2.44,2.43,764300000,765800000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/0000797468-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/oxyform10q93018.htm
2018-06-30,OXY,2018-08-08,2018-08-08 16:54:25,Q2,4083000000,1465000000,2618000000,0.6411951996081313,21000000,402000000,0.0,402000000,21000000,1486000000,97000000,947000000,2019000000,0.494489346069,1072000000,0.262552045065,38000000,1072000000,0.262552045065,302000000,848000000,0.207690423708,1.1,1.1,765700000,767200000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000014/0000797468-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000014/oxyform10q63018.htm
2018-03-31,OXY,2018-05-08,2018-05-08 16:25:29,Q1,3763000000,1363000000,2400000000,0.6377889981397821,15000000,307000000,0.0,307000000,15000000,1378000000,97000000,921000000,1905000000,0.506245017273,984000000,0.261493489237,29000000,984000000,0.261493489237,339000000,708000000,0.188147754451,0.92,0.92,765600000,767000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000008/0000797468-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000008/oxyform10q33118.htm
2017-12-31,OXY,2018-02-23,2018-02-23 17:19:51,FY,3492000000,1325000000,2167000000,0.620561282932417,55000000,448000000,0.0,448000000,55000000,1380000000,87000000,1076000000,1062000000,0.30412371134,497000000,0.13851727982162765,27000000,-14000000,-0.0039018952062430325,431000000,497000000,0.142325315006,0.65,0.64,765100000,765900000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000005/0000797468-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000005/oxy10k12-31x2017.htm
