date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-29,PFE,2020-05-07,2020-05-07 10:42:57,Q1,12028000000,2378000000,9650000000,0.8022946458264051,1724000000,0.0,2873000000,0.0,4597000000,6975000000,0.0,885000000,4295000000,0.35708347189890255,3410000000,0.28350515463917525,221000000,3885000000,0.3229963418689724,475000000,3410000000,0.28350515463917525,0.61,0.61,5590163934,5590163934,https://www.sec.gov/Archives/edgar/data/78003/000007800320000037/0000078003-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800320000037/pfe-03292020x10q.htm
2019-12-31,PFE,2020-02-27,2020-02-27 14:15:12,FY,12688000000,2608000000,10080000000,0.7944514501891551,2823000000,4240000000,4240000000,0.0,7063000000,9671000000,416000000,1384000000,1057000000,0.08330706179066835,-327000000,-0.02577238335435057,3041000000,-1508000000,-0.11885245901639344,-1182000000,-326000000,-0.02569356872635561,-0.06,-0.05,5569000000,5675000000,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/0000078003-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/pfe-12312019x10kshell.htm
2019-09-29,PFE,2019-11-07,2019-11-07 15:55:42,Q3,12680000000,2602000000,10078000000,0.794794952681388,2283000000,3260000000,10108000000,0.0,5543000000,8145000000,408000000,1553000000,12280000000,0.968454258675,10727000000,0.845977917981,527000000,10727000000,0.845977917981,3047000000,7680000000,0.605678233438,1.39,1.36,5581000000,5690000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000082/0000078003-19-000082-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000082/pfe-09292019x10q.htm
2019-06-30,PFE,2019-08-08,2019-08-08 16:23:48,Q2,13264000000,2576000000,10688000000,0.8057901085645356,1841000000,3511000000,2000000.0,0.0,5352000000,7928000000,389000000,1528000000,5668000000,0.427322074789,4140000000,0.312123039807,10000000,4140000000,0.312123039807,-914000000,5045000000,0.380352834741,0.9,0.88,5598000000,5711000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000064/0000078003-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000064/pfe-06302019x10q.htm
2019-03-31,PFE,2019-05-09,2019-05-09 16:09:55,Q1,13118000000,2433000000,10685000000,0.8145296539106571,1703000000,3339000000,3339000000,0.0,5042000000,7475000000,361000000,1545000000,5868000000,0.447324287239,4323000000,0.329547187071,92000000,4323000000,0.329547187071,433000000,3884000000,0.296081719774,0.69,0.68,5635000000,5750000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000026/0000078003-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000026/pfe-03312019x10q.htm
2018-12-31,PFE,2019-02-28,2019-02-28 14:35:32,FY,13977000000,3075000000,10902000000,0.7799957072333119,2457000000,4007000000,4007000000,0.0,6464000000,9539000000,370000000,1641000000,695000000,0.0497245474708,-383000000,-0.02740216069256636,3259000000,-946000000,-0.06768262144952422,-564000000,-382000000,-0.027330614581097517,-0.06,-0.05,5872000000,5977000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/0000078003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/pfe-12312018x10kshell.htm
2018-09-30,PFE,2018-11-08,2018-11-08 16:42:41,Q3,13297000000,2694000000,10603000000,0.7973979093028503,2009000000,3494000000,3494000000,0.0,5503000000,8197000000,311000000,1614000000,5791000000,0.435511769572,4177000000,0.314131006994,-415000000,4177000000,0.314131006994,66000000,4114000000,0.309393096187,0.7,0.68,5899000000,5998000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000091/0000078003-18-000091-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000091/pfe-09302018x10q.htm
2018-07-01,PFE,2018-08-09,2018-08-09 16:29:29,Q2,13467000000,2916000000,10551000000,0.7834707061706393,1797000000,3542000000,3542000000,0.0,5339000000,8255000000,325000000,1562000000,6089000000,0.452142273706,4527000000,0.336155045667,-550000000,4527000000,0.336155045667,648000000,3871000000,0.287443380114,0.66,0.65,5911000000,6004000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000070/0000078003-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000070/pfe-07012018x10q.htm
2018-04-01,PFE,2018-05-10,2018-05-10 13:32:01,Q1,12906000000,2563000000,10343000000,0.8014101968076863,1743000000,3412000000,3412000000,0.0,5155000000,7718000000,310000000,1567000000,5694000000,0.441190144119,4127000000,0.319773748644,-178000000,4127000000,0.319773748644,556000000,3561000000,0.275918177592,0.6,0.59,5957000000,6057000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000045/0000078003-18-000045-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000045/pfe-04012018x10q.htm
2017-12-31,PFE,2018-02-22,2018-02-22 15:42:15,FY,13703000000,3260000000,10443000000,0.76209589141064,2311000000,4551000000,4551000000,0.0,6862000000,10122000000,330000000,1574000000,2528000000,0.184485149237,954000000,0.0696197912866,1331000000,954000000,0.0696197912866,-11336000000,12274000000,0.895716266511,2.06,2.03,5970000000,6058000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000027/0000078003-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000027/pfe-12312017x10kshell.htm
