date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,PG,2020-04-20,2020-04-20 16:17:10,Q3,17214000000,8716000000,8498000000,0.49366794469617753,0.0,5045000000,0.0,0.0,5045000000,13761000000,100000000,799000000,4252000000,0.2470082491,3453000000,0.200592540955,106000000,3498000000,0.203206692227,541000000,2917000000,0.16945509469,1.15,1.12,2489100000,2630300000,https://www.sec.gov/Archives/edgar/data/80424/000008042420000038/0000080424-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000038/pg-20200331.htm
2019-12-31,PG,2020-01-23,2020-01-23 16:16:32,Q2,18240000000,8869000000,9371000000,0.5137609649122807,0.0,4889000000,0.0,0.0,4889000000,13758000000,100000000,677000000,5159000000,0.282839912281,4482000000,0.245723684211,114000000,4532000000,0.248464912281,789000000,3717000000,0.203782894737,1.47,1.41,2495500000,2638800000,https://www.sec.gov/Archives/edgar/data/80424/000008042420000017/0000080424-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000017/pg-20191231.htm
2019-09-30,PG,2019-10-22,2019-10-22 16:18:13,Q1,17798000000,8723000000,9075000000,0.5098887515451175,0.0,4785000000,0.0,0.0,4785000000,13508000000,108000000,723000000,5013000000,0.281660860771,4290000000,0.241038318912,103000000,4343000000,0.244016181593,726000000,3593000000,0.20187661535,1.41,1.36,2504000000,2647500000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000086/0000080424-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000086/fy1920q1jas10-qreport.htm
2019-06-30,PG,2019-08-06,2019-08-06 16:26:04,FY,17094000000,8938000000,8156000000,0.4771264771264771,1900000000,5003000000,0.0,871000000,6903000000,15841000000,111000000,820000000,-4372000000,-0.25576225576225575,-5192000000,-0.30373230373230375,186000000,-5065000000,-0.2963027963027963,172000000,-5065000000,-0.2963027963027963,-2.13,-2.05,2503600000,2539500000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/0000080424-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/fy181910-kreport.htm
2019-03-31,PG,2019-04-23,2019-04-23 16:17:21,Q3,16462000000,8427000000,8035000000,0.4880937917628478,0.0,4806000000,0.0,0.0,4806000000,13233000000,131000000,711000000,3940000000,0.239339083951,3229000000,0.196148706111,128000000,3278000000,0.19912525817,502000000,2745000000,0.166747661281,1.07,1.04,2501500000,2624300000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000031/0000080424-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000031/fy1819q3jfm10-qreport.htm
2018-12-31,PG,2019-01-23,2019-01-23 16:19:23,Q2,17438000000,8919000000,8519000000,0.48853079481591927,0.0,4623000000,0.0,0.0,4623000000,13542000000,138000000,650000000,4546000000,0.260695033834,3896000000,0.223420116986,95000000,3916000000,0.224567037504,700000000,3194000000,0.18316320679,1.25,1.22,2497800000,2617600000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000014/0000080424-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000014/fy1819q2ond10-qreport.htm
2018-09-30,PG,2018-10-19,2018-10-19 16:17:31,Q1,16690000000,8484000000,8206000000,0.491671659676453,0.0,4652000000,0.0,0.0,4652000000,13136000000,129000000,643000000,4197000000,0.251467944877,3554000000,0.212941881366,462000000,3940000000,0.236069502696,729000000,3199000000,0.191671659676,1.26,1.22,2495800000,2612100000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000100/0000080424-18-000100-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000100/fy1819q1jas10-qreport.htm
2018-06-30,PG,2018-08-07,2018-08-07 16:19:22,FY,16503000000,9029000000,7474000000,0.452887353814458,1900000000,4797000000,0.0,16000000,6697000000,15726000000,136000000,750000000,3427000000,0.207659213476,2677000000,0.162212930982,16000000,2289000000,0.138702054172,399000000,1891000000,0.114585226928,0.73,0.73,2529300000,2656700000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/0000080424-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/fy171810-kreport.htm
2018-03-31,PG,2018-04-19,2018-04-19 16:12:04,Q3,16281000000,8343000000,7938000000,0.48756218905472637,0.0,4642000000,0.0,21000000,4642000000,12985000000,133000000,716000000,4012000000,0.246422209938,3296000000,0.202444567287,21000000,3253000000,0.199803451876,713000000,2511000000,0.154228855721,0.97,0.94,2535700000,2668600000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000034/0000080424-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000034/fy1718q3jfm10-qreport.htm
2017-12-31,PG,2018-01-23,2018-01-23 16:17:22,Q2,17395000000,8667000000,8728000000,0.501753377407301,0.0,4725000000,0.0,168000000,4725000000,13392000000,122000000,676000000,4679000000,0.268985340615,4003000000,0.230123598735,86000000,4033000000,0.231848232251,1472000000,2495000000,0.143432020696,0.96,0.94,2542200000,2680100000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000013/0000080424-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000013/fy1718q2ond10-qreport.htm
