date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,PM,2020-04-28,2020-04-28 09:11:51,Q1,7153000000,2402000000,4751000000,0.6641968404865092,0.0,0.0,1944000000,0.0,18000000,2420000000,0.0,241000000,3030000000,0.423598490144,2789000000,0.389906333007,0.0,2637000000,0.368656507759,596000000,1826000000,0.255277505942,1.17,1.17,1557000000,1558000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000032/0001413329-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000032/pm-033120x10qxdoc.htm
2019-12-31,PM,2020-02-07,2020-02-07 06:47:13,FY,7713000000,2778000000,4935000000,0.6398288603656165,465000000,0.0,2413000000,0.0,481000000,3259000000,796000000,255000000,2761000000,0.357967068586,2506000000,0.324906002852,0.0,2342000000,0.303643199793,623000000,1616000000,0.209516400882,1.04,1.04,1555000000,1556000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000007/0001413329-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000007/pm123119form10kwrapinc.htm
2019-09-30,PM,2019-10-24,2019-10-24 07:05:38,Q3,7642000000,2605000000,5037000000,0.6591206490447526,0.0,0.0,2234000000,0.0,15000000,2620000000,0.0,237000000,3025000000,0.395838785658,2788000000,0.36482596179,0.0,2541000000,0.332504579953,635000000,1896000000,0.248102590945,1.21,1.21,1556000000,1556000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000071/0001413329-19-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000071/pm-093019x10qxdoc.htm
2019-06-30,PM,2019-07-25,2019-07-25 06:40:07,Q2,7699000000,2665000000,5034000000,0.6538511494999351,0.0,0.0,1831000000,0.0,16000000,2681000000,0.0,232000000,3419000000,0.444083647227,3187000000,0.413949863619,0.0,3112000000,0.404208338745,611000000,2319000000,0.301207949084,1.49,1.49,1556000000,1556000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000055/0001413329-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000055/pm-063019x10qxdoc.htm
2019-03-31,PM,2019-04-25,2019-04-25 07:17:40,Q1,6751000000,2465000000,4286000000,0.63486890830988,0.0,0.0,2217000000,0.0,19000000,2484000000,0.0,240000000,2290000000,0.339209006073,2050000000,0.303658717227,0.0,1877000000,0.278032884017,424000000,1354000000,0.200562879573,0.87,0.87,1555000000,1556000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000034/0001413329-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000034/pm-033119x10qxdoc.htm
2018-12-31,PM,2019-02-07,2019-02-07 15:09:20,FY,7499000000,2781000000,4718000000,0.629150553407121,383000000,0.0,1997000000,0.0,402000000,3183000000,855000000,255000000,2957000000,0.394319242566,2702000000,0.360314708628,0.0,2555000000,0.340712094946,551000000,1910000000,0.25470062675,1.23,1.23,1555000000,1555000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000007/0001413329-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000007/pm123118form10kwrapinclfsm.htm
2018-09-30,PM,2018-10-25,2018-10-25 07:12:24,Q3,7504000000,2618000000,4886000000,0.6511194029850746,0.0,0.0,1710000000,0.0,20000000,2638000000,0.0,246000000,3402000000,0.453358208955,3156000000,0.420575692964,0.0,3004000000,0.400319829424,691000000,2247000000,0.299440298507,1.44,1.44,1555000000,1555000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000053/0001413329-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000053/pm-093018x10qxdoc.htm
2018-06-30,PM,2018-07-26,2018-07-26 07:37:19,Q2,7726000000,2744000000,4982000000,0.644835619984468,0.0,0.0,1868000000,0.0,21000000,2765000000,0.0,246000000,3339000000,0.432177064458,3093000000,0.400336526016,0.0,2919000000,0.377815169557,644000000,2198000000,0.284493916645,1.41,1.41,1554000000,1554000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000039/0001413329-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000039/pm-063018x10qxdoc.htm
2018-03-31,PM,2018-04-26,2018-04-26 07:58:37,Q1,6896000000,2615000000,4281000000,0.6207946635730859,0.0,0.0,1833000000,0.0,22000000,2637000000,0.0,242000000,2668000000,0.386890951276,2426000000,0.351798143852,0.0,2193000000,0.318010440835,559000000,1556000000,0.225638051044,1.0,1.0,1553000000,1554000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000023/0001413329-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000023/pm-033118x10qxdoc.htm
2017-12-31,PM,2018-02-13,2018-02-13 08:07:16,FY,21585000000,3001000000,18584000000,0.8609682649988418,453000000,38000000,1952000000,0.0,514000000,3515000000,1096000000,243000000,3561000000,0.164975677554,3318000000,0.153717859625,0.0,3059000000,0.141718786194,2265000000,694000000,0.0321519573778,0.45,0.45,1552000000,1553000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000007/0001413329-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000007/pm123117form10kwrapinclfsm.htm
