date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2019-12-31,RTN,2020-02-12,2020-02-12 16:04:56,FY,7842000000,5832000000,2010000000,0.2563121652639633,0.0,731000000,0.0,5832000000,6563000000,12395000000,-46000000,159000000,1438000000,0.18337158888038765,1279000000,0.16309614894159652,7000000.0,1064000000,0.13567967355266514,0.0,881000000,0.11234378984952818,0.0,0.0,278815489,278815489,https://www.sec.gov/Archives/edgar/data/1047122/000104712220000009/0001047122-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712220000009/rtn-12312019x10k.htm
2019-09-29,RTN,2019-10-24,2019-10-24 10:05:57,Q3,7446000000,4522000000,2924000000,0.3926940639269406,0.0,741000000,0.0,152000000,893000000,6240000000,45000000,155000000,1361000000,0.182782702122,1206000000,0.161966156326,-17000000,1036000000,0.139135106097,175000000,860000000,0.115498254096,3.08,3.08,280200000,280500000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000193/0001047122-19-000193-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000193/rtn-09292019x10q.htm
2019-06-30,RTN,2019-07-25,2019-07-25 10:21:24,Q2,7159000000,8304000000,-1145000000,-0.1599385389020813,0.0,778000000,0.0,181000000,959000000,5983000000,45000000,151000000,1327000000,0.18536108395,1176000000,0.164268752619,-8000000.0,965000000,0.134795362481,152000000,817000000,0.11412208409,2.92,2.92,280800000,281000000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000173/0001047122-19-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000173/rtn-06302019x10q.htm
2019-03-31,RTN,2019-04-25,2019-04-25 10:30:02,Q1,6729000000,4877000000,1852000000,0.2752266310001486,0.0,739000000,0.0,181000000,920000000,5616000000,44000000,140000000,1253000000,0.186208946352,1113000000,0.165403477486,-20000000,921000000,0.136870263041,146000000,781000000,0.116064794174,2.77,2.77,281900000,282200000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000126/0001047122-19-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000126/rtn-03312019x10qq1.htm
2018-12-31,RTN,2019-02-13,2019-02-13 10:49:55,FY,7360000000,4498000000,2862000000,0.3888586956521739,841000000,753000000,0.0,5393000000,990000000,6146000000,46000000,151000000,1365000000,0.185461956522,1214000000,0.164945652174,14000000,927000000,0.125951086957,99000000,832000000,0.113043478261,2.93,2.92,286500000,286800000,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000007/0001047122-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712219000007/rtn-12312018x10k.htm
2018-09-30,RTN,2018-10-25,2018-10-25 11:49:16,Q3,6806000000,3970000000,2836000000,0.41669115486335584,0.0,752000000,0.0,516000000,1268000000,5623000000,45000000,143000000,1326000000,0.194828092859,1183000000,0.1738172201,-8000000.0,636000000,0.093446958566,-5000000.0,644000000,0.0946223920071,2.25,2.26,287200000,287500000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000221/0001047122-18-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000221/rtn-09302018x10q.htm
2018-07-01,RTN,2018-07-26,2018-07-26 10:15:20,Q2,6625000000,3903000000,2722000000,0.4108679245283019,0.0,748000000,0.0,238000000,986000000,5525000000,46000000,139000000,1239000000,0.187018867925,1100000000,0.166037735849,-3000000.0,827000000,0.124830188679,37000000,800000000,0.120754716981,2.78,2.78,287900000,288200000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000201/0001047122-18-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000201/rtn-07012018x10q.htm
2018-04-01,RTN,2018-04-26,2018-04-26 10:11:46,Q1,6267000000,3737000000,2530000000,0.40370193074836447,0.0,694000000,0.0,239000000,933000000,5226000000,47000000,135000000,1176000000,0.187649593107,1041000000,0.166108185735,5000000.0,757000000,0.120791447263,133000000,633000000,0.101005265677,2.2,2.19,288500000,288800000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000128/0001047122-18-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000128/rtn-04012018x10qq1.htm
2017-12-31,RTN,2018-02-14,2018-02-14 10:22:29,FY,6783000000,4341000000,2442000000,0.36001769128704114,734000000,742000000,0.0,5171000000,742000000,5913000000,48000000,149000000,1019000000,0.150228512458,870000000,0.128261831048,-5000000.0,834000000,0.122954444936,447000000,393000000,0.0579389650597,1.36,1.35,291100000,291400000,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000022/0001047122-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000022/rtn-12312017x10k.htm
2017-10-01,RTN,2017-10-26,2017-10-26 10:14:26,Q3,6284000000,3898000000,2386000000,0.37969446212603436,0.0,736000000,0.0,4690000000,736000000,5426000000,48000000,138000000,996000000,0.15849777212,858000000,0.136537237428,-2000000.0,816000000,0.129853596435,248000000,572000000,0.0910248249523,1.97,1.97,291600000,291900000,https://www.sec.gov/Archives/edgar/data/1047122/000104712217000171/0001047122-17-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1047122/000104712217000171/rtn-10012017x10q.htm
