date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,SLB,2020-04-22,2020-04-22 09:19:20,Q1,7455000000,4727000000,2728000000,0.3659289067739772,173000000,127000000,0.0,0.0,300000000,5027000000,136000000,792000000,783911000,105.15238095238095,-8089000.0,-1.08504359490275,39000.0,-8089000.0,-1.08504359490275,-721000000,-7368000.0,-0.9883299798792756,-5.32,-5.32,1387000000,1387000000,https://www.sec.gov/Archives/edgar/data/87347/000156459020017823/0001564590-20-017823-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459020017823/slb-10q_20200331.htm
2019-12-31,SLB,2020-01-22,2020-01-22 11:46:23,FY,8228000000,5034000000,3194000000,0.3881866796305299,190000000,129000000,0.0,0.0,319000000,5353000000,147000000,848000000,1300000000,0.157997083131,452000000,0.0549343704424,25000.0,452000000,0.0549343704424,109000000,333000000,0.040471560525,0.24,0.24,1385000000,1385000000,https://www.sec.gov/Archives/edgar/data/87347/000156459020001578/0001564590-20-001578-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459020001578/slb-10k_20191231.htm
2019-09-30,SLB,2019-10-23,2019-10-23 11:29:53,Q3,8540000000,5372000000,3168000000,0.37096018735362996,176000000,120000000,0.0,0.0,296000000,5668000000,160000000,900000000,888029000,103.98466042154567,-11971000,-1.4017564402810305,22000.0,-11971000,-1.4017564402810305,-598000000,-11373000,-1.3317330210772833,-8.22,-8.21,1385000000,1385000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019037505/0001564590-19-037505-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019037505/slb-10q_20190930.htm
2019-06-30,SLB,2019-07-24,2019-07-24 11:28:04,Q2,8270000000,5311000000,2959000000,0.35779927448609433,178000000,113000000,0.0,0.0,291000000,5602000000,155000000,938000000,1530000000,0.185006045949,592000000,0.0715840386941,25000.0,592000000,0.0715840386941,99000000,492000000,0.059492140266,0.36,0.35,1385000000,1396000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019025739/0001564590-19-025739-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019025739/slb-10q_20190630.htm
2019-03-31,SLB,2019-04-24,2019-04-24 11:26:17,Q1,7879000000,5111000000,2768000000,0.3513136184795025,173000000,112000000,0.0,0.0,285000000,5396000000,147000000,903000000,1412000000,0.179210559716,509000000,0.0646021068664,14000000,509000000,0.0646021068664,79000000,421000000,0.0534331767991,0.3,0.3,1385000000,1397000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019012635/0001564590-19-012635-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019012635/slb-10q_20190331.htm
2018-12-31,SLB,2019-01-23,2019-01-23 11:24:12,FY,8179000000,5204000000,2975000000,0.3637363980926764,178000000,114000000,0.0,0.0,292000000,5496000000,141000000,919000000,1567000000,0.191588213718,648000000,0.0792272893997,31000000,648000000,0.0792272893997,99000000,539000000,0.0659004768309,0.39,0.38,1385000000,1393000000,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/0001564590-19-000928-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/slb-10k_20181231.htm
2018-09-30,SLB,2018-10-24,2018-10-24 11:22:57,Q3,8505000000,5338000000,3167000000,0.3723691945914168,177000000,105000000,0.0,0.0,282000000,5620000000,147000000,887000000,1673000000,0.19670781893,786000000,0.0924162257496,36000000,786000000,0.0924162257496,129000000,644000000,0.0757201646091,0.46,0.46,1385000000,1393000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018024846/0001564590-18-024846-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018024846/slb-10q_20180930.htm
2018-06-30,SLB,2018-07-25,2018-07-25 12:17:58,Q2,8302000000,8154000000,148000000,0.017827029631414117,175000000,114000000,0.0,0.0,289000000,8443000000,144000000,876000000,1423000000,0.171404480848,547000000,0.0658877378945,40000000,547000000,0.0658877378945,106000000,430000000,0.0517947482534,0.31,0.31,1385000000,1393000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018017379/0001564590-18-017379-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018017379/slb-10q_20180630.htm
2018-03-31,SLB,2018-04-25,2018-04-25 11:16:47,Q1,7829000000,1922000000,5907000000,0.7545024907395581,172000000,111000000,0.0,0.0,283000000,2205000000,143000000,874000000,1517000000,0.193766764593,643000000,0.0821305402989,42000000,643000000,0.0821305402989,113000000,525000000,0.0670583727168,0.38,0.38,1385000000,1394000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018008981/0001564590-18-008981-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018008981/slb-10q_20180331.htm
2017-12-31,SLB,2018-01-24,2018-01-24 11:35:35,FY,8179000000,2810000000,5369000000,0.6564372172637242,192000000,109000000,0.0,0.0,301000000,3111000000,144000000,906000000,-1304000000,-0.1594326934833109,-2210000000,-0.27020418144027386,52000000,-2210000000,-0.27020418144027386,61000000,-2271000000,-0.2776623059053674,-1.62,-1.62,1388000000,1388000000,https://www.sec.gov/Archives/edgar/data/87347/000156459018000821/0001564590-18-000821-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018000821/slb-10k_20171231.htm
2017-09-30,SLB,2017-10-25,2017-10-25 11:25:37,Q3,7905000000,1858000000,6047000000,0.7649588867805187,189000000,115000000,0.0,0.0,304000000,2162000000,141000000,956000000,1632000000,0.206451612903,676000000,0.0855154965212,64000000,676000000,0.0855154965212,121000000,544000000,0.0688172043011,0.39,0.39,1388000000,1395000000,https://www.sec.gov/Archives/edgar/data/87347/000156459017019977/0001564590-17-019977-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459017019977/slb-10q_20170930.htm
2017-06-30,SLB,2017-07-26,2017-07-26 10:13:54,Q2,7462000000,1844000000,5618000000,0.752881265076387,195000000,110000000,0.0,0.0,305000000,2149000000,142000000,986000000,1003000000,0.134414366122,17000000,0.00227820959528,62000000,17000000,0.00227820959528,98000000,-81000000,-0.010854998659876708,-0.05,-0.05,1390000000,1397000000,https://www.sec.gov/Archives/edgar/data/87347/000156459017014007/0001564590-17-014007-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459017014007/slb-10q_20170630.htm
2017-03-31,SLB,2017-04-26,2017-04-26 11:24:23,Q1,6894000000,1825000000,5069000000,0.7352770525094285,211000000,98000000,0.0,0.0,309000000,2134000000,139000000,989000000,1323000000,0.191906005222,334000000,0.0484479257325,46000000,334000000,0.0484479257325,50000000,279000000,0.0404699738903,0.2,0.2,1393000000,1402000000,https://www.sec.gov/Archives/edgar/data/87347/000156459017007214/0001564590-17-007214-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459017007214/slb-10q_20170331.htm
2016-12-31,SLB,2017-01-25,2017-01-25 11:34:28,FY,7107000000,1799000000,5308000000,0.7468692838046996,262000000,98000000,0.0,0.0,360000000,2159000000,139000000,1016000000,802000000,0.112846489377,64000000,0.009005206134796679,47000000,-214000000,-0.030111158013226398,-19000000,-195000000,-0.027437737441958633,-0.14,-0.14,1357000000,1357000000,https://www.sec.gov/Archives/edgar/data/87347/000156459017000589/0001564590-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459017000589/slb-10k_20161231.htm
2016-09-30,SLB,2016-10-26,2016-10-26 11:21:31,Q3,7019000000,1787000000,5232000000,0.7454053283943581,253000000,92000000,0.0,0.0,345000000,2132000000,149000000,998000000,1199000000,0.170822054424,201000000,0.0286365579142,55000000,201000000,0.0286365579142,10000000,177000000,0.025217267417,0.16,0.16,1345000000,1345000000,https://www.sec.gov/Archives/edgar/data/87347/000156459016026174/0001564590-16-026174-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459016026174/slb-10q_20160930.htm
2016-06-30,SLB,2016-07-27,2016-07-27 08:55:31,Q2,7164000000,6314000000,850000000,0.11864879955332217,257000000,103000000,0.0,0.0,360000000,6417000000,149000000,1113000000,-1401000000,-0.19556113902847572,-2514000000,-0.3509212730318258,53000000,-2514000000,-0.3509212730318258,-368000000,-2146000000,-0.29955332216638747,-1.66,-1.66,1321000000,1321000000,https://www.sec.gov/Archives/edgar/data/87347/000156459016021567/0001564590-16-021567-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459016021567/slb-10q_20160630.htm
2016-03-31,SLB,2016-04-27,2016-04-27 06:16:28,Q1,6520000000,5460000000,1060000000,0.16257668711656442,240000000,110000000,0.0,0.0,350000000,5810000000,133000000,967000000,1589000000,0.243711656442,622000000,0.0953987730061,45000000,622000000,0.0953987730061,99000000,501000000,0.0768404907975,0.4,0.4,1254000000,1259000000,https://www.sec.gov/Archives/edgar/data/87347/000156459016016687/0001564590-16-016687-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459016016687/slb-10q_20160331.htm
2015-12-31,SLB,2016-01-27,2016-01-27 10:33:17,FY,7744000000,6293000000,1451000000,0.18737086776859505,275000000,132000000,0.0,0.0,407000000,6700000000,92000000,963000000,-27000000,-0.0034865702479338844,-990000000,-0.1278409090909091,81000000,-1103000000,-0.14243285123966942,-113000000,-990000000,-0.1278409090909091,-0.8,-0.79,1267000000,1275000000,https://www.sec.gov/Archives/edgar/data/87347/000156459016012009/0001564590-16-012009-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459016012009/slb-10k_20151231.htm
2015-09-30,SLB,2015-10-21,2015-10-21 12:01:30,Q3,8473000000,6797000000,1676000000,0.19780479169125456,273000000,123000000,0.0,0.0,396000000,7193000000,85000000,1026000000,2280000000,0.269090050749,1254000000,0.147999527912,59000000,1254000000,0.147999527912,251000000,989000000,0.11672371061,0.78,0.78,1270000000,1278000000,https://www.sec.gov/Archives/edgar/data/87347/000156459015008511/0001564590-15-008511-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459015008511/slb-10q_20150930.htm
2015-06-30,SLB,2015-07-22,2015-07-22 11:49:37,Q2,9010000000,7135000000,1875000000,0.2081021087680355,279000000,120000000,0.0,0.0,399000000,7534000000,87000000,1047000000,2483000000,0.275582685905,1436000000,0.159378468368,47000000,1436000000,0.159378468368,302000000,1124000000,0.124750277469,0.89,0.88,1273000000,1282000000,https://www.sec.gov/Archives/edgar/data/87347/000156459015005555/0001564590-15-005555-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459015005555/slb-10q_20150630.htm
2015-03-31,SLB,2015-04-22,2015-04-22 10:38:45,Q1,10248000000,8096000000,2152000000,0.209992193598751,267000000,119000000,0.0,0.0,386000000,8482000000,82000000,1042000000,2336000000,0.227946916472,1294000000,0.126268540203,49000000,1294000000,0.126268540203,306000000,975000000,0.0951405152225,0.76,0.76,1276000000,1285000000,https://www.sec.gov/Archives/edgar/data/87347/000156459015002749/0001564590-15-002749-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459015002749/slb-10q_20150331.htm
2014-12-31,SLB,2015-01-29,2015-01-29 06:05:46,FY,12641000000,9690000000,2951000000,0.23344672098726366,324000000,122000000,0.0,0.0,446000000,10136000000,87000000,1065000000,3568000000,0.282256150621,2503000000,0.198006486829,71000000,2246000000,0.177675816787,398000000,302000000,0.0238905149909,0.25,0.25,1295000000,1308000000,https://www.sec.gov/Archives/edgar/data/87347/000156459015000337/0001564590-15-000337-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459015000337/slb-10k_20141231.htm
