date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,SO,2020-04-30,2020-04-29 17:42:31,Q1,5018000000,494000000,4524000000,0.9015544041450777,0.0,0.0,0.0,3755000000,3755000000,4249000000,456000000,241000000,1504000000,0.29972100438421684,1263000000,0.2516939019529693,330000000,986000000,0.19649262654444002,0.0,986000000,0.19649262654444002,0.82,0.81,1202439024,1217283950,https://www.sec.gov/Archives/edgar/data/92122/000009212220000042/0000092122-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212220000042/so10q3312020.htm
2019-12-31,SO,2020-02-20,2020-02-19 17:55:30,FY,4914000000,482000000,4432000000,0.901912901912902,0.0,0.0,0.0,4224000000,4224000000,4706000000,442000000,817000000,1507000000,0.3066748066748067,690000000,0.14041514041514042,299000000,335000000,0.06817256817256817,0.0,335000000,0.06817256817256817,4.53,4.5,1444150110,1453777777,https://www.sec.gov/Archives/edgar/data/92122/000009212220000017/0000092122-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212220000017/so10-k12312019.htm
2019-09-30,SO,2019-10-30,2019-10-29 19:30:33,Q3,5995000000,1072000000,4923000000,0.821184320266889,0.0,0.0,0.0,1695000000,1695000000,3982000000,435000000,905000000,2918000000,0.486738949124,2013000000,0.335779816514,303000000,1713000000,0.285738115096,367000000,1316000000,0.219516263553,1.26,1.25,1043000000,1051000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000053/0000092122-19-000053-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000053/so10q9302019.htm
2019-06-30,SO,2019-07-31,2019-07-30 17:45:58,Q2,5098000000,914000000,4184000000,0.82071400549235,0.0,0.0,0.0,1745000000,1745000000,3756000000,429000000,894000000,2236000000,0.438603373872,1342000000,0.263240486465,299000000,1075000000,0.210867006669,145000000,898000000,0.176147508827,0.85,0.85,1041000000,1049000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000037/0000092122-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000037/so10q6302019.htm
2019-03-31,SO,2019-05-01,2019-04-30 18:32:56,Q1,5412000000,850000000,4562000000,0.8429416112342941,0.0,0.0,0.0,1742000000,1742000000,1721000000,430000000,851000000,4542000000,0.839246119734,3691000000,0.682002956393,329000000,3419000000,0.631744271988,1360000000,2084000000,0.385070214339,2.01,1.99,1038000000,1045000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000016/0000092122-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000016/so_10qx3312019.htm
2018-12-31,SO,2019-02-20,2019-02-19 18:34:01,FY,5337000000,1123000000,4214000000,0.7895821622634439,0.0,0.0,0.0,4900000000,4900000000,4759000000,1842000000,902000000,1480000000,0.277309349822,578000000,0.108300543376,211000000,120000000,0.0224845418775,-149000000,278000000,0.0520891886828,0.26,0.26,1020000000,1025000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000006/0000092122-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212219000006/so10-k12312018.htm
2018-09-30,SO,2018-11-07,2018-11-06 17:47:23,Q3,6159000000,121000000,6038000000,0.9803539535638902,0.0,0.0,0.0,3985000000,3985000000,3985000000,0.0,897000000,3071000000,0.498619905829,2174000000,0.352979379769,319000000,1845000000,0.299561617146,623000000,1164000000,0.188991719435,1.15,1.14,1016000000,1021000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000062/0000092122-18-000062-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000062/so_10qx9302018.htm
2018-06-30,SO,2018-08-08,2018-08-07 18:44:06,Q2,5627000000,3393000000,2234000000,0.3970143948818198,0.0,0.0,0.0,2190000000,2190000000,5564000000,0.0,877000000,940000000,0.167051714946,63000000,0.0111960191932,316000000,-265000000,-0.2831196581196581,-138000000,-265000000,-0.2831196581196581,-0.16,-0.15,1012000000,1017000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000050/0000092122-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000050/so_10qx6302018.htm
2018-03-31,SO,2018-05-02,2018-05-01 17:40:51,Q1,6372000000,1009000000,5363000000,0.8416509730069052,0.0,0.0,0.0,2094000000,2094000000,4996000000,0.0,873000000,2249000000,0.352950408035,1376000000,0.215944758318,355000000,1049000000,0.164626490898,113000000,938000000,0.147206528562,0.93,0.92,1011000000,1016000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000027/0000092122-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000027/so_10qx3312018.htm
2017-12-31,SO,2018-02-21,2018-02-20 21:22:00,FY,5628000000,1579000000,4049000000,0.7194385216773277,0.0,0.0,0.0,5533000000,5533000000,4834000000,1694000000,893000000,1687000000,0.299751243781,794000000,0.141080312722,184000000,324000000,0.0575692963753,-175000000,724000000,0.128642501777,0.49,0.49,1000000000,1008000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000012/0000092122-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212218000012/so_10-kx12312017.htm
