date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,T,2020-05-06,2020-05-06 16:08:09,Q1,42779000000,4092000000,38687000000,0.9043455901259964,0.0,8790000000,0.0,26503000000,8790000000,35293000000,0.0,9491000000,16977000000,0.396853596391,7486000000,0.174992402814,803000000,6265000000,0.146450361159,1302000000,4610000000,0.107763154819,0.63,0.63,7187000000,7214000000,https://www.sec.gov/Archives/edgar/data/732717/000156276220000171/0001562762-20-000171-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000156276220000171/t-20200331.htm
2019-12-31,T,2020-02-20,2020-02-19 21:42:50,FY,46821000000,5606000000,41215000000,0.8802674013797228,0.0,10345000000,0.0,31155000000,10345000000,41500000000,2049000000,9489000000,14810000000,0.316311057004,5321000000,0.113645586382,-104000000,3138000000,0.0670212084321,434000000,2394000000,0.0511309028,0.33,0.32,7319000000,7348000000,https://www.sec.gov/Archives/edgar/data/732717/000156276220000064/0001562762-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000156276220000064/t-20191231.htm
2019-09-30,T,2019-11-05,2019-11-04 17:58:10,Q3,44588000000,4484000000,40104000000,0.8994348255135911,0.0,9584000000,0.0,27103000000,9584000000,36687000000,2083000000,8809000000,16710000000,0.374764510631,7901000000,0.177200143536,-935000000,4886000000,0.109581053198,937000000,3700000000,0.0829819682426,0.51,0.51,7321000000,7350000000,https://www.sec.gov/Archives/edgar/data/732717/000073271719000056/0000732717-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271719000056/t-20190930.htm
2019-06-30,T,2019-08-05,2019-08-05 17:25:31,Q2,44957000000,4061000000,40896000000,0.9096692394955179,0.0,9844000000,0.0,27613000000,9844000000,37457000000,2149000000,9803000000,17303000000,0.384878884267,7500000000,0.166826078253,-318000000,5073000000,0.11284115933,1099000000,3713000000,0.0825900304736,0.5,0.5,7318000000,7347000000,https://www.sec.gov/Archives/edgar/data/732717/000156276219000164/0001562762-19-000164-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000156276219000164/t-20190630.htm
2019-03-31,T,2019-05-06,2019-05-06 16:31:44,Q1,44827000000,4502000000,40325000000,0.8995694559082695,0.0,9649000000,0.0,27945000000,9649000000,37594000000,0.0,9703000000,16936000000,0.377808017489,7233000000,0.161353648471,286000000,5371000000,0.119816182212,1023000000,4096000000,0.0913735025766,0.56,0.56,7313000000,7342000000,https://www.sec.gov/Archives/edgar/data/732717/000073271719000018/0000732717-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271719000018/1q_10q.htm
2018-12-31,T,2019-02-20,2019-02-20 17:21:51,FY,47993000000,8691000000,39302000000,0.8189110912008001,0.0,10586000000,0.0,31247000000,10586000000,41833000000,2112000000,10056000000,16216000000,0.33788260788,6160000000,0.128352051341,1674000000,5745000000,0.119704956973,615000000,4858000000,0.101223095035,0.66,0.66,6778000000,6806000000,https://www.sec.gov/Archives/edgar/data/732717/000119312519045608/0001193125-19-045608-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000119312519045608/d705958d10k.htm
2018-09-30,T,2018-11-02,2018-11-02 16:03:05,Q3,45739000000,14990000000,30749000000,0.6722709285292638,0.0,9598000000,0.0,28872000000,9598000000,38470000000,2051000000,9606000000,16875000000,0.368941166182,7269000000,0.158923457006,1053000000,6207000000,0.135704759614,1391000000,4718000000,0.103150484269,0.63,0.63,6603000000,6630000000,https://www.sec.gov/Archives/edgar/data/732717/000073271718000090/0000732717-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271718000090/q3_10q.htm
2018-06-30,T,2018-08-02,2018-08-02 17:15:30,Q2,38986000000,4377000000,34609000000,0.8877289283332478,0.0,8684000000,0.0,23836000000,8684000000,32520000000,2023000000,6546000000,13012000000,0.333760837224,6466000000,0.165854409275,314000000,6780000000,0.173908582568,1532000000,5132000000,0.131636997897,0.81,0.81,6257000000,6277000000,https://www.sec.gov/Archives/edgar/data/732717/000119312518236782/0001193125-18-236782-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000119312518236782/d592180d10q.htm
2018-03-31,T,2018-05-03,2018-05-03 17:28:29,Q1,38038000000,4848000000,33190000000,0.8725485041274514,0.0,7897000000,0.0,23940000000,7897000000,31837000000,0.0,5994000000,12195000000,0.320600452179,6201000000,0.163021189337,1702000000,6141000000,0.161443819339,1382000000,4662000000,0.122561648877,0.75,0.75,6161000000,6180000000,https://www.sec.gov/Archives/edgar/data/732717/000073271718000024/0000732717-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271718000024/q1_10q.htm
2017-12-31,T,2018-02-20,2018-02-20 16:15:55,FY,41676000000,6532000000,35144000000,0.8432671081677704,0.0,10000000000,0.0,31317000000,10000000000,41317000000,1926000000,6071000000,6430000000,0.154285440061,359000000,0.00861407044822,264000000,-1283000000,-0.030785104136673385,-20419000000,19037000000,0.456785680008,3.08,3.07,6164000000,6183000000,https://www.sec.gov/Archives/edgar/data/732717/000073271718000009/0000732717-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271718000009/ye17_10k.htm
