date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-02-01,TGT,2020-03-11,2020-03-11 16:14:26,FY,22417000000,17056000000,5361000000,0.23914886023999643,0,4505000000,0,29000000,4505000000,21561000000,118000000,699000000,1897000000,0.0846232769773,1198000000,0.0534415845118,29000000,1051000000,0.0468840612036,218000000,834000000,0.0372039077486,1.65,1.62,510900000,515600000,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/0000027419-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/tgt-20200201.htm
2019-11-02,TGT,2019-11-27,2019-11-27 12:59:13,Q3,18664000000,12934000000,5730000000,0.30700814402057436,0,4153000000,0,-11000000,4153000000,17087000000,113000000,638000000,1640000000,0.0878696956708,1002000000,0.0536862408916,-11000000,897000000,0.0480604372053,194000000,714000000,0.0382554650664,1.4,1.39,512500000,516800000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000026/0000027419-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000026/tgt-20191102x10xq.htm
2019-08-03,TGT,2019-08-30,2019-08-30 13:00:12,Q2,18422000000,12626000000,5796000000,0.31462381934643363,0,3912000000,0,-15000000,3912000000,16538000000,120000000,623000000,1946000000,0.105634567365,1323000000,0.0718163065899,-15000000,1221000000,0.0662794484855,280000000,938000000,0.0509173813918,1.83,1.82,513900000,517800000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000021/0000027419-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000021/tgt-20190803x10xq.htm
2019-05-04,TGT,2019-05-31,2019-05-31 15:50:58,Q1,17627000000,12248000000,5379000000,0.30515686163272254,0,3663000000,0,-12000000,3663000000,15911000000,126000000,644000000,1779000000,0.100924717763,1135000000,0.0643898564702,-12000000,1021000000,0.0579225052476,229000000,795000000,0.0451012651047,1.54,1.53,515700000,519500000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000013/0000027419-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000013/tgt-20190504x10xq.htm
2019-02-02,TGT,2019-03-13,2019-03-13 16:27:49,FY,22977000000,16899000000,6078000000,0.2645253949601776,0,4376000000,0,0,4376000000,21275000000,109000000,648000000,2096000000,0.091221656439,1448000000,0.0630195412804,0,1014000000,0.0441310876093,216000000,798000000,0.0347303825565,1.53,1.52,528600000,533200000,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/0000027419-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/tgt-20190202x10k.htm
2018-11-03,TGT,2018-11-27,2018-11-27 16:25:07,Q3,18271000000,12535000000,5736000000,0.31394012369328445,0,3937000000,0,0,3937000000,16472000000,115000000,592000000,1305000000,0.0714246620327,713000000,0.0390235892945,0,713000000,0.0390235892945,97000000,622000000,0.0340430189918,1.18,1.17,531500000,536200000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000036/0000027419-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000036/tgt-20181103x10xq.htm
2018-08-04,TGT,2018-08-27,2018-08-27 15:14:29,Q2,17327000000,12240000000,5087000000,0.29358804178449815,0,3865000000,0,0,3865000000,16105000000,116000000,603000000,1625000000,0.0937842673284,1022000000,0.0589830899752,0,1022000000,0.0589830899752,223000000,799000000,0.046113002828,1.5,1.49,534300000,538600000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000027/0000027419-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000027/tgt-20180804x10xq.htm
2018-05-05,TGT,2018-05-29,2018-05-29 15:05:03,Q1,16781000000,11625000000,5156000000,0.30725224956796376,0,3545000000,0,0,3545000000,15170000000,121000000,631000000,1558000000,0.092843096359,927000000,0.0552410464215,0,927000000,0.0552410464215,210000000,718000000,0.0427864847149,1.34,1.33,536900000,541000000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000018/0000027419-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000018/tgt-201855x10xq.htm
2018-02-03,TGT,2018-03-14,2018-03-14 14:09:12,FY,22766000000,16795000000,5971000000,0.2622770798559255,0,4221000000,0,0,4221000000,21016000000,134000000,661000000,1679000000,0.0737503294386,1018000000,0.0447158042695,0,1018000000,0.0447158042695,-84000000,1101000000,0.0483615918475,2.02,2.01,546800000,550300000,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/0000027419-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/tgt-20180203x10k.htm
2017-10-28,TGT,2017-11-20,2017-11-20 15:53:26,Q3,16667000000,11712000000,4955000000,0.29729405411891763,0,3512000000,0,0,3512000000,15224000000,254000000,633000000,1248000000,0.07487850243,615000000,0.0368992620148,0,615000000,0.0368992620148,138000000,480000000,0.0287994240115,0.89,0.88,548700000,551800000,https://www.sec.gov/Archives/edgar/data/27419/000002741917000034/0000027419-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741917000034/tgt-20171028x10xq.htm
