date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-28,TMO,2020-05-01,2020-05-01 11:16:42,Q1,4630000000,2340000000,2290000000,0.4946004319654428,245000000,1551000000,0.0,3528000000,1796000000,5324000000,126000000,574000000,1480000000,0.319654427646,906000000,0.195680345572,12000000,828000000,0.178833693305,40000000,788000000,0.170194384449,1.99,1.97,397000000,400000000,https://www.sec.gov/Archives/edgar/data/97745/000009774520000018/0000097745-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774520000018/tmo-20200328.htm
2019-12-31,TMO,2020-02-26,2020-02-26 15:33:51,FY,783000000,2674000000,-1891000000,-2.4150702426564497,262000000,1512000000,0.0,330000000,2104000000,5597000000,142000000,573000000,1805000000,2.30523627075,1232000000,1.57343550447,29000000,1038000000,1.32567049808,36000000,1002000000,1.27969348659,2.51,2.49,400000000,403000000,https://www.sec.gov/Archives/edgar/data/97745/000009774520000009/0000097745-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774520000009/tmo-20191231.htm
2019-09-28,TMO,2019-11-01,2019-11-01 10:56:26,Q3,6272000000,2471000000,3801000000,0.6060267857142857,247000000,1539000000,0.0,3540000000,1662000000,5326000000,164000000,575000000,1521000000,0.242506377551,946000000,0.150829081633,31000000,822000000,0.131058673469,62000000,760000000,0.121173469388,1.89,1.88,400000000,403000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000049/0000097745-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000049/q3201910q.htm
2019-06-29,TMO,2019-08-02,2019-08-02 11:53:27,Q2,6316000000,2478000000,3838000000,0.6076630778974034,246000000,1565000000,0.0,3009000000,1708000000,4820000000,181000000,571000000,2067000000,0.327264091197,1496000000,0.236858771374,-473000000,1393000000,0.220550981634,274000000,1119000000,0.177169094364,2.8,2.78,400000000,403000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000035/0000097745-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000035/q2201910q.htm
2019-03-30,TMO,2019-05-03,2019-05-03 11:28:31,Q1,6125000000,2414000000,3711000000,0.6058775510204082,248000000,1528000000,0.0,3429000000,1673000000,5205000000,189000000,555000000,1475000000,0.240816326531,920000000,0.150204081633,0.0,817000000,0.133387755102,2000000.0,815000000,0.13306122449,2.04,2.02,400000000,403000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000016/0000097745-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000016/q1201910q.htm
2018-12-31,TMO,2019-02-27,2019-02-27 16:15:13,FY,6507000000,2610000000,3897000000,0.598893499308437,251000000,1510000000,0.0,3598000000,1625000000,5359000000,172000000,558000000,1706000000,0.26217919164,1148000000,0.176425388044,-35000000,1012000000,0.155524819425,114000000,898000000,0.138005225142,2.24,2.21,402000000,406000000,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/0000097745-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/a201810k.htm
2018-09-29,TMO,2018-11-02,2018-11-02 11:45:35,Q3,5920000000,2357000000,3563000000,0.6018581081081081,240000000,1490000000,0.0,3278000000,1628000000,5008000000,162000000,563000000,1475000000,0.249155405405,912000000,0.154054054054,35000000,810000000,0.136824324324,101000000,709000000,0.119763513514,1.76,1.75,402000000,406000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000040/0000097745-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000040/q3201810q.htm
2018-06-30,TMO,2018-08-03,2018-08-03 11:40:26,Q2,6078000000,2390000000,3688000000,0.6067785455742021,242000000,1542000000,0.0,3357000000,1653000000,5141000000,170000000,571000000,1508000000,0.24810793024,937000000,0.154162553472,0.0,806000000,0.13260941099,54000000,752000000,0.12372490951,1.87,1.85,402000000,406000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000029/0000097745-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000029/q2201810q.htm
2018-03-31,TMO,2018-05-04,2018-05-04 10:53:06,Q1,5853000000,2325000000,3528000000,0.6027678113787801,234000000,1515000000,0.0,3318000000,1597000000,5067000000,163000000,575000000,1361000000,0.232530326328,786000000,0.134290107637,0.0,634000000,0.108320519392,55000000,579000000,0.0989236289083,1.44,1.43,402000000,406000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000017/0000097745-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000017/q1201810q.htm
2017-12-31,TMO,2018-02-28,2018-02-28 09:19:05,FY,6046800000,2428300000,3618500000,0.5984156909439704,232900000,1476500000,0.0,3379000000,1571400000,5088900000,166300000,573500000,1531400000,0.253257921545,957900000,0.15841436793,0.0,819900000,0.13559237944,289400000,528100000,0.0873354501555,1.32,1.3,395000000,398000000,https://www.sec.gov/Archives/edgar/data/97745/000009774518000006/0000097745-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774518000006/a201710k.htm
