date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,UNH,2020-05-06,2020-05-06 17:11:29,Q1,64421000000,7687000000,56734000000,0.8806755561074805,0.0,10015000000,0.0,0.0,10015000000,59425000000,437000000,723000000,5719000000,0.0887753993263,4996000000,0.0775523509415,365000000,4559000000,0.0707688486674,1094000000,3382000000,0.0524984089039,3.56,3.52,949000000,962000000,https://www.sec.gov/Archives/edgar/data/731766/000073176620000026/0000731766-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176620000026/unh202033110-q.htm
2019-12-31,UNH,2020-02-14,2020-02-14 17:18:38,FY,60901000000,6511000000,54390000000,0.8930887834354115,0.0,9301000000,0.0,0.0,9301000000,55806000000,437000000,718000000,5813000000,0.095449992611,5095000000,0.0836603668248,433000000,4658000000,0.0764847867851,990000000,3541000000,0.058143544441,3.73,3.68,951000000,966000000,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/0000731766-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/unh2019123110-k.htm
2019-09-30,UNH,2019-11-06,2019-11-06 16:07:31,Q3,60351000000,6627000000,53724000000,0.8901923746085401,0.0,8960000000,0.0,0.0,8960000000,55337000000,449000000,709000000,5723000000,0.0948285861046,5014000000,0.083080644894,466000000,4565000000,0.0756408344518,936000000,3538000000,0.0586237179169,3.73,3.68,952000000,967000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000034/0000731766-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000034/unh201993010-q.htm
2019-06-30,UNH,2019-08-07,2019-08-06 17:35:52,Q2,60595000000,7598000000,52997000000,0.8746101163462332,0.0,8415000000,0.0,0.0,8415000000,55851000000,418000000,654000000,5398000000,0.0890832576945,4744000000,0.0782902879776,582000000,4326000000,0.0713920290453,941000000,3293000000,0.0543444178563,3.47,3.41,954000000,970000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000025/0000731766-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000025/unh201963010-q.htm
2019-03-31,UNH,2019-05-07,2019-05-07 17:10:28,Q1,60308000000,7381000000,52927000000,0.8776115938183989,0.0,8517000000,0.0,0.0,8517000000,55476000000,400000000,639000000,5471000000,0.0907176493997,4832000000,0.0801220401937,405000000,4432000000,0.0734894209723,875000000,3467000000,0.0574882271009,3.62,3.56,958000000,975000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000013/0000731766-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000013/unh201933110-q.htm
2018-12-31,UNH,2019-02-12,2019-02-12 17:16:04,FY,58417000000,7625000000,50792000000,0.8694729274012701,0.0,8703000000,0.0,0.0,8703000000,53920000000,374000000,637000000,5134000000,0.0878853758324,4497000000,0.0769810158002,341000000,4123000000,0.0705787698786,959000000,3040000000,0.0520396459935,3.16,3.1,963000000,983000000,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/0000731766-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/unh2018123110-k.htm
2018-09-30,UNH,2018-11-08,2018-11-08 16:12:46,Q3,56556000000,6718000000,49838000000,0.881215078859891,0.0,8479000000,0.0,0.0,8479000000,51966000000,353000000,611000000,5201000000,0.0919619492185,4590000000,0.0811584977721,382000000,4237000000,0.0749168965273,953000000,3188000000,0.0563689086923,3.31,3.24,963000000,984000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000040/0000731766-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000040/unh201893010-q.htm
2018-06-30,UNH,2018-08-07,2018-08-07 16:07:58,Q2,56086000000,6471000000,49615000000,0.8846236137360483,0.0,8386000000,0.0,0.0,8386000000,51882000000,344000000,598000000,4802000000,0.0856185144243,4204000000,0.0749563170845,355000000,3860000000,0.0688228791499,850000000,2922000000,0.0520985629212,3.04,2.98,963000000,984000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000030/0000731766-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000030/unh201863010-q.htm
2018-03-31,UNH,2018-05-07,2018-05-07 16:17:34,Q1,55188000000,6184000000,49004000000,0.8879466550699427,0.0,8506000000,0.0,0.0,8506000000,51135000000,329000000,582000000,4635000000,0.0839856490541,4053000000,0.0734398782344,298000000,3724000000,0.0674784373415,800000000,2836000000,0.0513879828948,2.94,2.87,966000000,987000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000018/0000731766-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000018/unh201833110-q.htm
2017-12-31,UNH,2018-02-13,2018-02-13 16:10:43,FY,52061000000,6479000000,45582000000,0.875549835769578,0.0,7820000000,0.0,0.0,7820000000,48084000000,308000000,578000000,4555000000,0.0874935172202,3977000000,0.0763911565279,1023000000,3669000000,0.0704750196884,-3200000000,3617000000,0.0694761913909,3.73,3.66,964000000,985000000,https://www.sec.gov/Archives/edgar/data/731766/000073176618000005/0000731766-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176618000005/unh2017123110-k.htm
