date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,UNP,2020-04-23,2020-04-23 16:58:23,Q1,5229000000,434000000,4795000000,0.9170013386880856,0.0,1059000000,0.0,2027000000,3086000000,3086000000,278000000,547000000,2690000000,0.51443870721,2143000000,0.409829795372,53000000,1918000000,0.366800535475,444000000,1474000000,0.281889462612,2.15,2.15,684300000,686200000,https://www.sec.gov/Archives/edgar/data/100885/000010088520000143/0000100885-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088520000143/unp-20200331x10q.htm
2019-12-31,UNP,2020-02-07,2020-02-07 15:35:18,FY,5212000000,1603000000,3609000000,0.6924405218726016,0.0,1049000000,0.0,2063000000,3112000000,3112000000,278000000,559000000,2659000000,0.510168841136,2100000000,0.402916346892,190000000,1878000000,0.360322333078,475000000,1403000000,0.269186492709,2.02,2.02,703500000,706100000,https://www.sec.gov/Archives/edgar/data/100885/000010088520000065/0000100885-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088520000065/unp-20191231x10k.htm
2019-09-30,UNP,2019-10-17,2019-10-17 16:28:14,Q3,5516000000,504000000,5012000000,0.9086294416243654,0.0,1134000000,0.0,2148000000,3282000000,3282000000,266000000,557000000,2791000000,0.505982596084,2234000000,0.405003625816,53000000,2021000000,0.366388687455,466000000,1555000000,0.281907179115,2.23,2.21,707200000,709800000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000256/0000100885-19-000256-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000256/unp-20190930x10q.htm
2019-06-30,UNP,2019-07-18,2019-07-18 16:35:47,Q2,5596000000,560000000,5036000000,0.899928520371694,0.0,1145000000,0.0,2191000000,3336000000,3336000000,259000000,551000000,2811000000,0.50232308792,2260000000,0.403859899929,57000000,2058000000,0.367762687634,488000000,1570000000,0.280557541101,2.22,2.22,711200000,713800000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000196/0000100885-19-000196-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000196/unp-20190630x10q.htm
2019-03-31,UNP,2019-04-18,2019-04-18 15:29:37,Q1,5384000000,531000000,4853000000,0.9013744427934621,0.0,1205000000,0.0,2219000000,3424000000,3424000000,247000000,549000000,2509000000,0.466010401189,1960000000,0.364041604755,77000000,1790000000,0.332466567608,399000000,1391000000,0.258358098068,1.94,1.93,716800000,719500000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000129/0000100885-19-000129-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000129/unp-20190331x10q.htm
2018-12-31,UNP,2019-02-08,2019-02-08 14:28:23,FY,5757000000,1872000000,3885000000,0.6748306409588327,0.0,1280000000,0.0,2267000000,3547000000,3547000000,240000000,555000000,2765000000,0.480284870592,2210000000,0.383880493312,46000000,2016000000,0.35018238666,462000000,1554000000,0.269932256384,2.13,2.12,750900000,754300000,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/0000100885-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/unp-20181231x10k.htm
2018-09-30,UNP,2018-10-25,2018-10-25 16:05:24,Q3,5928000000,659000000,5269000000,0.8888326585695007,0.0,1262000000,0.0,2397000000,3659000000,3659000000,241000000,547000000,2816000000,0.475033738192,2269000000,0.382759784076,48000000,2076000000,0.35020242915,483000000,1593000000,0.268724696356,2.15,2.14,758100000,761400000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000268/0000100885-18-000268-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000268/unp-20180930x10q.htm
2018-06-30,UNP,2018-07-19,2018-07-19 15:47:52,Q2,5672000000,643000000,5029000000,0.8866361071932299,0.0,1241000000,0.0,2332000000,3573000000,3573000000,203000000,546000000,2645000000,0.466325811001,2099000000,0.370063469676,42000000,1938000000,0.34167842031,429000000,1509000000,0.266043723554,1.98,1.97,768400000,771600000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000184/0000100885-18-000184-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000184/unp-20180630x10q.htm
2018-03-31,UNP,2018-04-26,2018-04-26 16:40:19,Q1,5475000000,589000000,4886000000,0.8924200913242009,0.0,1273000000,0.0,2263000000,3536000000,3536000000,186000000,543000000,2482000000,0.453333333333,1939000000,0.354155251142,-42000000,1711000000,0.312511415525,401000000,1310000000,0.239269406393,1.69,1.68,776400000,779600000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000125/0000100885-18-000125-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000125/unp-20180331x10q.htm
2017-12-31,UNP,2018-02-09,2018-02-09 14:32:01,FY,5450000000,1441000000,4009000000,0.7355963302752293,0.0,1232000000,0.0,1967000000,3199000000,3199000000,188000000,532000000,2783000000,0.510642201835,2251000000,0.413027522936,139000000,2092000000,0.383853211009,3080000000,7278000000,1.33541284404,9.15,9.1,798400000,801700000,https://www.sec.gov/Archives/edgar/data/100885/000010088518000048/0000100885-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000048/unp-20171231x10k.htm
