date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,UPS,2020-05-08,2020-05-08 16:30:00,Q1,18035000000,563000000,17472000000,0.9687829220959245,0.0,10086000000,0.0,1974000000,12060000000,16963000000,167000000,648000000,1720000000,0.0953701136679,1072000000,0.0594399778209,178000000,1250000000,0.0693096756307,285000000,965000000,0.0535070695869,1.12,1.11,864000000,869000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000023/0001090727-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000023/ups-20200331.htm
2019-12-31,UPS,2020-02-20,2020-02-20 17:05:25,FY,20568000000,446000000,20122000000,0.9783158304161804,0.0,10702000000,0.0,2179000000,12881000000,18435000000,166000000,630000000,2763000000,0.134334889148,2133000000,0.103704784131,-2331000000,-1878000000,-0.0913068844807,-92000000,-106000000,-0.00515363671723,-0.12,-0.12,864000000,869000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000005/0001090727-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000005/ups-12312019x10k.htm
2019-09-30,UPS,2019-10-29,2019-10-29 17:11:22,Q3,18318000000,485000000,17833000000,0.973523310405066,0.0,9590000000,0.0,1720000000,11310000000,16190000000,159000000,587000000,2715000000,0.148214870619,2128000000,0.116169887542,78000000,2206000000,0.120427994323,456000000,1750000000,0.095534446992,2.03,2.01,865000000,869000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000060/0001090727-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000060/ups-09302019x10q.htm
2019-06-30,UPS,2019-07-30,2019-07-30 17:06:02,Q2,18048000000,907000000,17141000000,0.9497451241134752,0.0,9299000000,0.0,1701000000,11000000000,15905000000,159000000,575000000,2718000000,0.150598404255,2143000000,0.11873891844,61000000,2204000000,0.122118794326,519000000,1685000000,0.0933621453901,1.95,1.94,866000000,869000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000045/0001090727-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000045/ups-06302019x10q.htm
2019-03-31,UPS,2019-04-30,2019-04-30 17:00:24,Q1,17160000000,770000000,17160000000,1.0,0.0,9317000000,0.0,1711000000,11028000000,15766000000,169000000,568000000,1962000000,0.114335664336,1394000000,0.0812354312354,46000000,1440000000,0.08391608391608392,329000000,1111000000,0.0647435897436,1.28,1.28,866000000,869000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000011/0001090727-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000011/ups-03312019x10q.htm
2018-12-31,UPS,2019-02-21,2019-02-21 17:02:11,FY,19848000000,1732000000,18116000000,0.9127367996775494,0.0,10151000000,0.0,1913000000,12064000000,17844000000,148000000,545000000,2549000000,0.128426037888,2004000000,0.100967351874,-1461000000,543000000,0.0273579201935,90000000,453000000,0.022823458283,0.52,0.52,866000000,870000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/0001090727-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/ups-12312018x10k.htm
2018-09-30,UPS,2018-10-30,2018-10-30 17:04:31,Q3,17444000000,271000000,17444000000,1.0,0.0,9015000000,0.0,1658000000,10673000000,15717000000,155000000,524000000,2251000000,0.129041504242,1727000000,0.0990025223573,162000000,1889000000,0.108289383169,381000000,1508000000,0.086448062371,1.74,1.74,866000000,870000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000039/0001090727-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000039/ups-09302018x10q.htm
2018-06-30,UPS,2018-08-02,2018-08-02 17:29:52,Q2,17456000000,852000000,17456000000,1.0,0.0,9024000000,0.0,1633000000,10657000000,15683000000,149000000,542000000,2315000000,0.132619156737,1773000000,0.101569660862,153000000,1926000000,0.110334555454,441000000,1485000000,0.085071035747,1.72,1.7,866000000,870000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000032/0001090727-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000032/ups-06302018x10q.htm
2018-03-31,UPS,2018-05-03,2018-05-03 16:35:22,Q1,17113000000,750000000,17113000000,1.0,0.0,9045000000,0.0,1623000000,10668000000,15593000000,153000000,596000000,2116000000,0.123648688132,1520000000,0.0888213638754,141000000,1661000000,0.097060714077,316000000,1345000000,0.0785952200082,1.55,1.55,866000000,870000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000020/0001090727-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000020/ups-03312018x10q.htm
2017-12-31,UPS,2018-02-21,2018-02-21 17:23:42,FY,18829000000,817000000,18829000000,1.0,0.0,10131000000,0.0,1845000000,11976000000,17335000000,129000000,594000000,2088000000,0.110892771788,1494000000,0.0793456901588,-106000000,1388000000,0.0737160762653,284000000,1104000000,0.0586329597961,1.28,1.27,871000000,875000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000009/0001090727-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000009/ups-12312017x10k.htm
