date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2019-12-31,USB,2020-02-20,2020-02-20 16:58:09,FY,3207000000,0.0,3207000000,1.0,291000000,0.0,0.0,0.0,167000000,167000000,1048000000,130000000,1977000000,0.616463985033,1847000000,0.575927658248,0.0,1847000000,0.575927658248,354000000,1486000000,0.463361396944,0.9,0.91,1581000000,1583000000,https://www.sec.gov/Archives/edgar/data/36104/000119312520043622/0001193125-20-043622-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312520043622/d597518d10k.htm
2019-09-30,USB,2019-11-08,2019-11-07 17:37:06,Q3,3281000000,0.0,3281000000,1.0,277000000,0.0,0.0,0.0,319000000,319000000,1156000000,127000000,2511000000,0.765315452606,2384000000,0.726607741542,0.0,2384000000,0.726607741542,467000000,1908000000,0.581530021335,1.16,1.15,1589000000,1592000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519287486/0001193125-19-287486-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519287486/d796072d10q.htm
2019-06-30,USB,2019-08-01,2019-08-01 16:27:21,Q2,3305000000,0.0,3305000000,1.0,270000000,0.0,0.0,0.0,312000000,312000000,1146000000,125000000,2402000000,0.726777609682,2277000000,0.68895612708,0.0,2277000000,0.68895612708,449000000,1821000000,0.550983358548,1.09,1.1,1596000000,1599000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519210903/0001193125-19-210903-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519210903/d737804d10q.htm
2019-03-31,USB,2019-05-09,2019-05-09 15:45:55,Q1,3259000000,0.0,3259000000,1.0,257000000,0.0,0.0,0.0,297000000,297000000,1092000000,120000000,2206000000,0.676894752992,2086000000,0.640073642222,0.0,2086000000,0.640073642222,378000000,1699000000,0.521325559988,1.01,1.0,1602000000,1605000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519142913/0001193125-19-142913-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519142913/d686529d10q.htm
2018-12-31,USB,2019-02-22,2019-02-21 18:03:40,FY,3303000000,0.0,3303000000,1.0,254000000,0.0,0.0,0.0,134000000,134000000,1008000000,121000000,2274000000,0.688465031789,2153000000,0.65183166818,0.0,2153000000,0.65183166818,291000000,1856000000,0.56191341205,1.1,1.1,1634000000,1638000000,https://www.sec.gov/Archives/edgar/data/36104/000119312519047201/0001193125-19-047201-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312519047201/d584906d10k.htm
2018-09-30,USB,2018-11-02,2018-11-02 10:24:35,Q3,3251000000,0.0,3251000000,1.0,247000000,0.0,0.0,0.0,288000000,288000000,872000000,118000000,2400000000,0.738234389419,2282000000,0.701937865272,0.0,2282000000,0.701937865272,460000000,1815000000,0.558289756998,1.06,1.06,1641000000,1645000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518316582/0001193125-18-316582-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518316582/d586012d10q.htm
2018-06-30,USB,2018-08-02,2018-08-02 16:24:59,Q2,3197000000,0.0,3197000000,1.0,242000000,0.0,0.0,0.0,282000000,282000000,751000000,115000000,2314000000,0.723803565843,2199000000,0.687832342821,0.0,2199000000,0.687832342821,441000000,1750000000,0.547388176415,1.02,1.02,1647000000,1651000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518236628/0001193125-18-236628-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518236628/d602654d10q.htm
2018-03-31,USB,2018-05-03,2018-05-03 16:31:45,Q1,3168000000,0.0,3168000000,1.0,235000000,0.0,0.0,0.0,274000000,274000000,623000000,113000000,2157000000,0.680871212121,2044000000,0.645202020202,0.0,2044000000,0.645202020202,362000000,1675000000,0.528724747475,0.97,0.96,1652000000,1657000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518150855/0001193125-18-150855-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518150855/d543976d10q.htm
2017-12-31,USB,2018-02-22,2018-02-22 15:07:08,FY,3144000000,0.0,3144000000,1.0,254000000,0.0,0.0,0.0,123000000,123000000,596000000,118000000,1429000000,0.45451653944,1311000000,0.416984732824,0.0,1311000000,0.416984732824,-375000000,1682000000,0.534987277354,0.97,0.96,1677000000,1683000000,https://www.sec.gov/Archives/edgar/data/36104/000119312518053893/0001193125-18-053893-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312518053893/d492040d10k.htm
2017-09-30,USB,2017-11-03,2017-11-03 15:01:53,Q3,3135000000,0.0,3135000000,1.0,246000000,0.0,0.0,0.0,290000000,290000000,579000000,117000000,2275000000,0.725677830941,2158000000,0.688357256778,0.0,2158000000,0.688357256778,589000000,1563000000,0.498564593301,0.89,0.89,1683000000,1689000000,https://www.sec.gov/Archives/edgar/data/36104/000119312517332564/0001193125-17-332564-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312517332564/d455406d10q.htm
2017-06-30,USB,2017-08-04,2017-08-04 13:08:32,Q2,3017000000,0.0,3017000000,1.0,242000000,0.0,0.0,0.0,285000000,285000000,514000000,116000000,2179000000,0.722240636394,2063000000,0.683791846205,0.0,2063000000,0.683791846205,551000000,1500000000,0.497182631753,0.85,0.84,1689000000,1695000000,https://www.sec.gov/Archives/edgar/data/36104/000119312517248499/0001193125-17-248499-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312517248499/d407829d10q.htm
2017-03-31,USB,2017-05-05,2017-05-05 15:11:29,Q1,2945000000,0.0,2945000000,1.0,235000000,0.0,0.0,0.0,279000000,279000000,455000000,117000000,2102000000,0.713752122241,1985000000,0.6740237691,0.0,1985000000,0.6740237691,499000000,1473000000,0.500169779287,0.82,0.82,1694000000,1701000000,https://www.sec.gov/Archives/edgar/data/36104/000119312517160671/0001193125-17-160671-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312517160671/d334122d10q.htm
2016-12-31,USB,2017-02-23,2017-02-23 15:41:34,FY,2955000000,0.0,2955000000,1.0,238000000,0.0,0.0,0.0,104000000,104000000,419000000,117000000,2157000000,0.729949238579,2040000000,0.690355329949,0.0,2040000000,0.690355329949,549000000,1478000000,0.500169204738,0.81,0.81,1718000000,1724000000,https://www.sec.gov/Archives/edgar/data/36104/000119312517053947/0001193125-17-053947-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312517053947/d291857d10k.htm
2016-09-30,USB,2016-11-04,2016-11-04 13:04:10,Q3,2893000000,0.0,2893000000,1.0,243000000,0.0,0.0,0.0,288000000,288000000,427000000,117000000,2199000000,0.760110611822,2082000000,0.719668164535,0.0,2082000000,0.719668164535,566000000,1502000000,0.519184237815,0.84,0.84,1724000000,1730000000,https://www.sec.gov/Archives/edgar/data/36104/000119312516759887/0001193125-16-759887-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312516759887/d231217d10q.htm
2016-06-30,USB,2016-08-05,2016-08-05 13:21:41,Q2,2845000000,0.0,2845000000,1.0,241000000,0.0,0.0,0.0,285000000,285000000,407000000,117000000,2195000000,0.771528998243,2078000000,0.730404217926,0.0,2078000000,0.730404217926,542000000,1522000000,0.534973637961,0.83,0.83,1731000000,1737000000,https://www.sec.gov/Archives/edgar/data/36104/000119312516673126/0001193125-16-673126-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312516673126/d176571d10q.htm
2016-03-31,USB,2016-05-06,2016-05-06 12:40:00,Q1,2835000000,0.0,2835000000,1.0,233000000,0.0,0.0,0.0,278000000,278000000,386000000,119000000,2024000000,0.7139329806,1905000000,0.671957671958,0.0,1905000000,0.671957671958,504000000,1386000000,0.488888888889,0.77,0.76,1737000000,1743000000,https://www.sec.gov/Archives/edgar/data/36104/000119312516581459/0001193125-16-581459-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312516581459/d150924d10q.htm
2015-12-31,USB,2016-02-25,2016-02-25 17:16:00,FY,2819000000,0.0,2819000000,1.0,230000000,0.0,0.0,0.0,102000000,102000000,337000000,123000000,2168000000,0.769067045051,2045000000,0.725434551259,0.0,2045000000,0.725434551259,556000000,1476000000,0.523589925505,0.8,0.8,1764000000,1772000000,https://www.sec.gov/Archives/edgar/data/36104/000119312516478568/0001193125-16-478568-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312516478568/d69262d10k.htm
2015-09-30,USB,2015-11-04,2015-11-04 17:02:52,Q3,2768000000,0.0,2768000000,1.0,222000000,0.0,0.0,0.0,264000000,264000000,349000000,118000000,2155000000,0.778540462428,2037000000,0.735910404624,0.0,2037000000,0.735910404624,534000000,1489000000,0.537933526012,0.81,0.8,1770000000,1778000000,https://www.sec.gov/Archives/edgar/data/36104/000119312515366273/0001193125-15-366273-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312515366273/d50444d10q.htm
2015-06-30,USB,2015-08-05,2015-08-05 15:04:39,Q2,2716000000,0.0,2716000000,1.0,221000000,0.0,0.0,0.0,264000000,264000000,352000000,120000000,2145000000,0.789764359352,2025000000,0.74558173785,0.0,2025000000,0.74558173785,528000000,1483000000,0.546023564065,0.8,0.8,1776000000,1784000000,https://www.sec.gov/Archives/edgar/data/36104/000119312515278501/0001193125-15-278501-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312515278501/d938086d10q.htm
2015-03-31,USB,2015-05-06,2015-05-06 16:11:12,Q1,2698000000,0.0,2698000000,1.0,214000000,0.0,0.0,0.0,257000000,257000000,363000000,120000000,2043000000,0.757227575982,1923000000,0.712750185322,0.0,1923000000,0.712750185322,479000000,1431000000,0.530392883617,0.77,0.76,1781000000,1789000000,https://www.sec.gov/Archives/edgar/data/36104/000119312515174506/0001193125-15-174506-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312515174506/d897379d10q.htm
2014-12-31,USB,2015-02-27,2015-02-27 13:57:50,FY,2744000000,0.0,2744000000,1.0,219000000,0.0,0.0,0.0,270000000,270000000,358000000,128000000,2150000000,0.783527696793,2022000000,0.736880466472,0.0,2022000000,0.736880466472,521000000,1488000000,0.542274052478,0.8,0.79,1803000000,1813000000,https://www.sec.gov/Archives/edgar/data/36104/000119312515068728/0001193125-15-068728-index.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312515068728/d826004d10k.htm
