date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2019-09-30,UTX,None,Not found...,Q3,19496000000,10461000000,9035000000,0.4634283955683217,732000000,2104000000,0.0,-303000000,2533000000,17047000000,401000000,967000000,3453000000,0.177113254001,2486000000,0.127513336069,0.0,2388000000,0.122486663931,1131000000,1148000000,0.0588838736151,1.34,1.33,854200000,862900000,updating...,processing...
2019-06-30,UTX,None,Not found...,Q2,19634000000,21149000000,-1515000000,-0.07716206580421718,743000000,2106000000,0.0,-216000000,2633000000,17262000000,360000000,922000000,3506000000,0.178567790567,2584000000,0.131608434349,0.0,2440000000,0.124274218193,441000000,1900000000,0.0967709076092,2.22,2.2,853800000,862300000,updating...,processing...
2019-03-31,UTX,None,None,Q1,18365000000,0.0,18365000000,1.0,728000000,1997000000,0.0,-208000000,2517000000,16432000000,431000000,942000000,2987000000,0.162646338143,2045000000,0.111353117343,0.0,1822000000,0.0992104546692,397000000,1346000000,0.0732915872584,1.58,1.56,853200000,860700000,None,processing...
2018-12-31,UTX,None,None,FY,18044000000,10242000000,7802000000,0.4323874972289958,733000000,1915000000,0.0,-194000000,2454000000,16395000000,317000000,667000000,2578000000,0.142872977167,1911000000,0.10590778098,0.0,1788000000,0.0990911106185,990000000,686000000,0.0380181777876,0.78,0.78,800400000,810100000,None,processing...
2018-09-30,UTX,None,None,Q3,16510000000,9342000000,7168000000,0.4341611144760751,586000000,1681000000,0.0,-188000000,2079000000,14803000000,258000000,593000000,2431000000,0.147244094488,1838000000,0.111326468807,0.0,1768000000,0.107086614173,419000000,1238000000,0.074984857662,1.57,1.54,790600000,800700000,None,processing...
2018-06-30,UTX,None,None,Q2,16705000000,9154000000,7551000000,0.45202035318766837,589000000,1759000000,0.0,-383000000,1965000000,14770000000,234000000,592000000,3468000000,0.207602514217,2876000000,0.172164022748,0.0,2834000000,0.169649805447,695000000,2048000000,0.122598024544,2.59,2.56,790200000,800000000,None,processing...
2018-03-31,UTX,None,None,Q1,15242000000,8016000000,7226000000,0.4740847657787692,554000000,1711000000,0.0,0.0,2265000000,13545000000,229000000,581000000,2509000000,0.164610943446,1928000000,0.126492586275,0.0,1890000000,0.123999475134,522000000,1297000000,0.0850938197087,1.64,1.62,789900000,800400000,None,processing...
2017-12-31,UTX,None,None,FY,15680000000,8107000000,7573000000,0.4829719387755102,619000000,1639000000,0.0,0.0,2258000000,13991000000,247000000,558000000,2510000000,0.160076530612,1952000000,0.124489795918,0.0,1705000000,0.108737244898,1219000000,397000000,0.025318877551,0.5,0.5,790000000,799100000,None,processing...
2017-09-30,UTX,None,None,Q3,15062000000,7750000000,7312000000,0.48546009826052317,582000000,1524000000,0.0,0.0,2106000000,13149000000,223000000,543000000,2706000000,0.179657416014,2163000000,0.143606426769,0.0,1940000000,0.128800956048,506000000,1330000000,0.088301686363,1.69,1.67,790300000,799400000,None,processing...
2017-06-30,UTX,None,None,Q2,15280000000,7907000000,7373000000,0.4825261780104712,609000000,1538000000,0.0,0.0,2147000000,13247000000,226000000,527000000,2817000000,0.184358638743,2290000000,0.149869109948,0.0,2064000000,0.135078534031,532000000,1439000000,0.0941753926702,1.82,1.8,791100000,800400000,None,processing...
