date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,V,2020-05-04,2020-05-04 09:04:51,Q2,5854000000,0.0,5854000000,1.0,183000000,269000000,235000000,874000000,1326000000,1930000000,0.0,1897000000,5821000000,0.994362828835,3924000000,0.670310898531,23000000,3829000000,0.65408267851,745000000,3084000000,0.526819268876,2.85,2.85,1708000000,2234000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000028/0001403161-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000028/v033120form10q.htm
2019-12-31,V,2020-01-31,2020-01-31 16:06:01,Q1,6054000000,0.0,6054000000,1.0,181000000,313000000,274000000,964000000,1458000000,2038000000,0.0,1930000000,5946000000,0.982160555005,4016000000,0.663363065742,69000000,3974000000,0.656425503799,702000000,3272000000,0.540469111331,0.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000012/0001403161-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000012/v123119form10q.htm
2019-09-30,V,2019-11-14,2019-11-14 15:35:00,FY,6137000000,0.0,6137000000,1.0,193000000,341000000,306000000,864000000,1398000000,2402000000,0.0,1865000000,5600000000,0.912497963174,3735000000,0.608603552224,96000000,3711000000,0.604692846668,686000000,3025000000,0.492911846179,1.34,1.35,1742000000,2272000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/v093019form10k.htm
2019-06-30,V,2019-07-26,2019-07-26 16:07:11,Q3,5840000000,0.0,5840000000,1.0,184000000,315000000,282000000,842000000,1341000000,1932000000,0.0,1711000000,5619000000,0.962157534247,3908000000,0.669178082192,86000000,3866000000,0.66198630137,765000000,3101000000,0.530993150685,1.37,1.36,1748000000,2278000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000030/0001403161-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000030/v63019form10q.htm
2019-03-31,V,2019-04-26,2019-04-26 16:06:57,Q2,5494000000,0.0,5494000000,1.0,171000000,264000000,517000000,824000000,1259000000,1853000000,0.0,1638000000,5279000000,0.960866399709,3641000000,0.662722970513,36000000,3677000000,0.669275573353,700000000,2977000000,0.541863851474,1.31,1.31,1754000000,2285000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000017/0001403161-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000017/v33119form10q.htm
2018-12-31,V,2019-01-31,2019-01-31 16:16:27,Q1,5506000000,0.0,5506000000,1.0,173000000,276000000,0.0,765000000,1214000000,1789000000,0.0,1615000000,5332000000,0.968398111151,3717000000,0.675081729023,-87000000,3630000000,0.659280784599,653000000,2977000000,0.540682891391,1.3,1.3,1760000000,2291000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000005/0001403161-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000005/v123118form10q.htm
2018-09-30,V,2018-11-16,2018-11-16 16:10:27,FY,5434000000,0.0,5434000000,1.0,188000000,457000000,264000000,741000000,1386000000,2028000000,0.0,1665000000,5071000000,0.933198380567,3406000000,0.626794258373,132000000,3538000000,0.651085756349,693000000,2845000000,0.523555391976,1.23,1.23,1792000000,2329000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/v093018.htm
2018-06-30,V,2018-07-27,2018-07-27 16:06:49,Q3,5240000000,0.0,5240000000,1.0,169000000,230000000,240000000,768000000,1167000000,2355000000,0.0,1526000000,4411000000,0.84179389313,2885000000,0.550572519084,-73000000,2812000000,0.536641221374,483000000,2329000000,0.444465648855,1.01,1.0,1798000000,2337000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000034/0001403161-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000034/v63018form10q.htm
2018-03-31,V,2018-04-27,2018-04-27 16:06:38,Q2,5073000000,0.0,5073000000,1.0,169000000,222000000,261000000,763000000,1154000000,1737000000,0.0,1442000000,4778000000,0.941849004534,3336000000,0.657599053814,-119000000,3217000000,0.634141533609,612000000,2605000000,0.513502858269,1.12,1.12,1805000000,2345000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000020/0001403161-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000020/v33118form10q.htm
2017-12-31,V,2018-02-01,2018-02-01 16:15:13,Q1,4862000000,0.0,4862000000,1.0,160000000,236000000,223000000,588000000,984000000,1535000000,0.0,1471000000,4798000000,0.986836692719,3327000000,0.684286301933,-88000000,3239000000,0.666186754422,717000000,2522000000,0.51871657754,1.07,1.07,1811000000,2353000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000009/0001403161-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000009/v123117form10q.htm
