date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,VZ,2020-04-27,2020-04-27 11:29:02,Q1,31610000000,7754000000,23856000000,0.7546978804175893,0.0,8585000000,0.0,16446000000,8585000000,25031000000,1034000000,4150000000,10729000000,0.339417905726,6579000000,0.2081303385,143000000,5676000000,0.179563429295,1389000000,4156000000,0.131477380576,1.0,1.0,4139000000,4141000000,https://www.sec.gov/Archives/edgar/data/732712/000073271220000027/0000732712-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000027/a2020q110-q.htm
2019-12-31,VZ,2020-02-21,2020-02-21 11:20:18,FY,34775000000,8376000000,26399000000,0.759137311286844,0.0,8214000000,0.0,19922000000,8214000000,28136000000,1159000000,4105000000,10744000000,0.308957584472,6639000000,0.190913012221,-1773000000,3712000000,0.106743350108,1505000000,5095000000,0.146513299784,1.24,1.23,4138000000,4140000000,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/0000732712-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/a2019q410-k.htm
2019-09-30,VZ,2019-10-30,2019-10-30 12:18:19,Q3,32894000000,7902000000,24992000000,0.7597738189335441,0.0,7216000000,0.0,17498000000,7216000000,24714000000,1146000000,4114000000,12294000000,0.37374597191,8180000000,0.248677570378,-110000000,6923000000,0.210463914392,1586000000,5194000000,0.157901136985,1.25,1.25,4138000000,4140000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000063/0000732712-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000063/a2019q310-q.htm
2019-06-30,VZ,2019-08-08,2019-08-08 13:04:24,Q2,32071000000,7702000000,24369000000,0.7598453431448973,0.0,7268000000,0.0,16953000000,7268000000,24221000000,1215000000,4232000000,12082000000,0.376726637772,7850000000,0.244769417854,-1312000000,5310000000,0.165570141249,1236000000,3944000000,0.122977144461,0.95,0.95,4138000000,4140000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000052/0000732712-19-000052-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000052/a2019q210-q.htm
2019-03-31,VZ,2019-04-26,2019-04-26 11:48:08,Q1,32128000000,7792000000,24336000000,0.7574701195219123,0.0,7198000000,0.0,17221000000,7198000000,24419000000,1210000000,4231000000,11940000000,0.371638446215,7709000000,0.239946464143,295000000,6788000000,0.211279880478,1628000000,5032000000,0.156623505976,1.22,1.22,4138000000,4140000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000024/0000732712-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000024/a2019q110-q.htm
2018-12-31,VZ,2019-02-15,2019-02-15 13:42:40,FY,34281000000,7128000000,27153000000,0.79207140981885,0.0,9410000000,0.0,24234000000,9410000000,33644000000,1199000000,4352000000,4989000000,0.14553251072,637000000,0.0185817216534,1865000000,1367000000,0.0398763163268,698000000,1939000000,0.056561943934,0.47,0.47,4128000000,4132000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/0000732712-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/a2018q410-k.htm
2018-09-30,VZ,2018-10-30,2018-10-30 11:47:34,Q3,32607000000,5489000000,27118000000,0.8316619130861471,0.0,7224000000,0.0,17708000000,7224000000,24932000000,1211000000,4377000000,12052000000,0.369613886589,7675000000,0.23537890637,214000000,6675000000,0.204710644954,1613000000,4924000000,0.151010519214,1.19,1.19,4125000000,4129000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000055/0000732712-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000055/a2018q310-q.htm
2018-06-30,VZ,2018-07-31,2018-07-31 10:59:56,Q2,32203000000,5397000000,26806000000,0.8324069186100674,0.0,7605000000,0.0,17981000000,7605000000,25586000000,1222000000,4350000000,10967000000,0.340558333075,6617000000,0.20547775052,285000000,5527000000,0.171629972363,1281000000,4120000000,0.127938390833,0.99,0.99,4120000000,4123000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000044/0000732712-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000044/a2018q210-q.htm
2018-03-31,VZ,2018-05-01,2018-05-01 12:36:20,Q1,31772000000,5309000000,26463000000,0.8329031851945109,0.0,6844000000,0.0,17579000000,6844000000,24423000000,1201000000,4324000000,11673000000,0.367398967644,7349000000,0.231304293088,0.0,6054000000,0.19054513408,1388000000,4545000000,0.143050484704,1.11,1.11,4104000000,4107000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000022/0000732712-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000022/a2018q110-q.htm
2017-12-31,VZ,2018-02-23,2018-02-23 13:15:54,FY,33955000000,7339000000,26616000000,0.7838609924900604,0.0,9531000000,0.0,-948000000,9531000000,29162000000,1219000000,4456000000,9249000000,0.272389927846,4793000000,0.141157414225,-634000000,2934000000,0.0864084818142,15849000000,18669000000,0.549815932852,4.57,4.56,4084000000,4089000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/0000732712-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/a201710-k.htm
2017-09-30,VZ,2017-10-26,2017-10-26 12:37:49,Q3,31717000000,4965000000,26752000000,0.8434593435696944,0.0,7632000000,0.0,37456000000,7632000000,24509000000,1164000000,4272000000,11480000000,0.361951004193,7208000000,0.227259829114,-1376000000,5511000000,0.173755399313,1775000000,3620000000,0.114134375887,0.89,0.89,4083000000,4088000000,https://www.sec.gov/Archives/edgar/data/732712/000073271217000009/0000732712-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271217000009/a2017q310-q.htm
