date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,WFC,2020-05-05,2020-05-05 15:25:29,Q1,179000000,260000000,-81000000,-0.45251396648044695,0.0,0.0,0.0,2099000000,23000000,283000000,3415000000,1868000000,2532000000,14.1452513966,664000000,3.7094972067,-71000000,664000000,3.7094972067,159000000,653000000,3.64804469274,0.01,0.01,4104800000,4135300000,https://www.sec.gov/Archives/edgar/data/72971/000007297120000236/0000072971-20-000236-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297120000236/wfc-0331x2020x10q.htm
2019-12-31,WFC,2020-02-27,2020-02-26 21:51:08,FY,180000000,1155000000,-975000000,-5.416666666666667,0.0,0.0,0.0,6924000000,6842000000,7997000000,4395000000,2135000000,5737000000,31.8722222222,3602000000,20.0111111111,2787000000,3602000000,20.0111111111,678000000,2873000000,15.9611111111,0.63,0.62,4393100000,4425400000,https://www.sec.gov/Archives/edgar/data/72971/000007297120000217/0000072971-20-000217-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297120000217/wfc-12312019x10k.htm
2019-09-30,WFC,2019-11-01,2019-11-01 15:42:55,Q3,184000000,0.0,184000000,1.0,0.0,0.0,0.0,-448000000,27000000,27000000,4874000000,1840000000,7956000000,43.2391304348,6116000000,33.2391304348,605000000,6116000000,33.2391304348,1304000000,4610000000,25.0543478261,0.93,0.93,4459100000,4489500000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000406/0000072971-19-000406-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000406/wfc-09302019x10q.htm
2019-06-30,WFC,2019-08-02,2019-08-02 15:55:09,Q2,250000000,0.0,250000000,1.0,0.0,0.0,0.0,-28000000,27000000,27000000,4891000000,1651000000,9283000000,37.132,7632000000,30.528,969000000,7632000000,30.528,1294000000,6206000000,24.824,1.31,1.3,4510200000,4540100000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000331/0000072971-19-000331-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000331/wfc-06302019x10q.htm
2019-03-31,WFC,2019-05-03,2019-05-03 13:02:25,Q1,245000000,0.0,245000000,1.0,0.0,0.0,0.0,-117000000,28000000,28000000,4692000000,1449000000,8297000000,33.8653061224,6848000000,27.9510204082,768000000,6848000000,27.9510204082,881000000,5860000000,23.9183673469,1.21,1.2,4551500000,4584000000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000254/0000072971-19-000254-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000254/wfc-03312019x10q.htm
2018-12-31,WFC,2019-02-27,2019-02-27 15:23:51,FY,247000000,0.0,247000000,1.0,0.0,0.0,0.0,5476000000,4682000000,4682000000,4277000000,1371000000,8491000000,34.3765182186,7120000000,28.8259109312,2244000000,7120000000,28.8259109312,966000000,6064000000,24.5506072874,1.22,1.21,4799700000,4838400000,https://www.sec.gov/Archives/edgar/data/72971/000007297119000227/0000072971-19-000227-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297119000227/wfc-12312018x10k.htm
2018-09-30,WFC,2018-11-06,2018-11-06 06:07:20,Q3,11816000000,0.0,11816000000,1.0,0.0,0.0,0.0,-311000000,264000000,264000000,3792000000,1387000000,8985000000,0.4391503046716317,7598000000,0.3217670954637779,772000000,7598000000,0.3217670954637779,1512000000,6007000000,0.23832092078537576,1.14,1.13,4844800000,4885000000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000471/0000072971-18-000471-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000471/wfc-09302018x10q.htm
2018-06-30,WFC,2018-08-03,2018-08-03 16:08:47,Q2,443000000,0.0,443000000,1.0,0.0,0.0,0.0,-151000000,265000000,265000000,3474000000,1404000000,8523000000,19.2392776524,7119000000,16.0699774266,749000000,7119000000,16.0699774266,1810000000,5186000000,11.7065462754,0.98,0.98,4875700000,4916100000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000408/0000072971-18-000408-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000408/wfc-06302018x10q.htm
2018-03-31,WFC,2018-05-04,2018-05-04 16:02:28,Q1,455000000,0.0,455000000,1.0,0.0,0.0,0.0,-58000000,265000000,265000000,3109000000,1431000000,8132000000,17.8725274725,6701000000,14.7274725275,594000000,6701000000,14.7274725275,1374000000,5136000000,11.2879120879,0.97,0.96,4885700000,4930700000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000324/0000072971-18-000324-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000324/wfc-03312018x10q.htm
2017-12-31,WFC,2018-03-01,2018-03-01 12:38:37,FY,458000000,0.0,458000000,1.0,0.0,0.0,0.0,5677000000,4813000000,4813000000,2612000000,1612000000,6453000000,14.0895196507,4841000000,10.5698689956,1943000000,4841000000,10.5698689956,-3817000000,6320000000,13.7991266376,1.2,1.19,4964600000,5017300000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000272/0000072971-18-000272-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297118000272/wfc-12312017x10k.htm
2017-09-30,WFC,2017-11-03,2017-11-03 12:29:26,Q3,475000000,0.0,475000000,1.0,0.0,0.0,0.0,-277000000,288000000,288000000,2582000000,1316000000,8174000000,17.2084210526,6858000000,14.4378947368,379000000,6858000000,14.4378947368,2204000000,4596000000,9.67578947368,0.85,0.84,4982100000,5035400000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000466/0000072971-17-000466-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000466/wfc-09302017x10q.htm
2017-06-30,WFC,2017-08-04,2017-08-04 13:52:15,Q2,493000000,0.0,493000000,1.0,0.0,0.0,0.0,71000000,287000000,287000000,2232000000,1241000000,9314000000,18.892494929,8073000000,16.3752535497,621000000,8073000000,16.3752535497,2225000000,5810000000,11.784989858,1.08,1.07,4999200000,5054800000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000397/0000072971-17-000397-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000397/wfc-06302017x10q.htm
2017-03-31,WFC,2017-05-05,2017-05-05 15:06:54,Q1,481000000,0.0,481000000,1.0,0.0,0.0,0.0,59000000,289000000,289000000,1926000000,1237000000,8842000000,18.3825363825,7605000000,15.8108108108,191000000,7605000000,15.8108108108,2057000000,5457000000,11.3451143451,1.01,1.0,5008600000,5070400000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000339/0000072971-17-000339-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000339/wfc-03312017x10q.htm
2016-12-31,WFC,2017-03-01,2017-03-01 13:42:47,FY,523000000,0.0,523000000,1.0,0.0,0.0,0.0,4325000000,3434000000,3434000000,1656000000,1372000000,8934000000,17.0822179732,7562000000,14.4588910134,182000000,7562000000,14.4588910134,2258000000,5274000000,10.0841300191,0.97,0.96,5052800000,5108300000,https://www.sec.gov/Archives/edgar/data/72971/000007297117000278/0000072971-17-000278-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297117000278/wfc-12312016x10k.htm
2016-09-30,WFC,2016-11-03,2016-11-03 06:37:42,Q3,534000000,0.0,534000000,1.0,0.0,0.0,0.0,258000000,299000000,299000000,1535000000,1365000000,9620000000,18.0149812734,8255000000,15.4588014981,429000000,8255000000,15.4588014981,2601000000,5644000000,10.5692883895,1.04,1.03,5061900000,5118200000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001340/0000072971-16-001340-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001340/wfc-9302016x10q.htm
2016-06-30,WFC,2016-08-03,2016-08-03 14:52:43,Q2,497000000,0.0,497000000,1.0,0.0,0.0,0.0,166000000,299000000,299000000,1413000000,938000000,9160000000,18.430583501,8222000000,16.5432595573,347000000,8222000000,16.5432595573,2649000000,5558000000,11.1830985915,1.02,1.01,5071300000,5129800000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001218/0000072971-16-001218-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001218/wfc-6302016x10q.htm
2016-03-31,WFC,2016-05-04,2016-05-04 12:20:33,Q1,373000000,0.0,373000000,1.0,0.0,0.0,0.0,349000000,293000000,293000000,1305000000,1295000000,9376000000,25.1367292225,8081000000,21.6648793566,656000000,8081000000,21.6648793566,2567000000,5462000000,14.6434316354,1.0,0.99,5075700000,5139400000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001085/0000072971-16-001085-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001085/wfc-3312016x10q.htm
2015-12-31,WFC,2016-02-24,2016-02-24 12:12:43,FY,145000000,0.0,145000000,1.0,0.0,0.0,0.0,3046000000,2111000000,2111000000,1055000000,892000000,9048000000,62.4,8156000000,56.2482758621,881000000,8156000000,56.2482758621,2533000000,5575000000,38.4482758621,1.02,1.0,5136500000,5209800000,https://www.sec.gov/Archives/edgar/data/72971/000007297116001045/0000072971-16-001045-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297116001045/wfc-12312015x10k.htm
2015-09-30,WFC,2015-11-04,2015-11-04 12:02:49,Q3,189000000,0.0,189000000,1.0,0.0,0.0,0.0,1244000000,311000000,311000000,988000000,838000000,9611000000,50.8518518519,8773000000,46.417989418,142000000,8773000000,46.417989418,2790000000,5796000000,30.6666666667,1.06,1.05,5145900000,5220300000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000674/0000072971-15-000674-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000674/wfc-09302015x10q.htm
2015-06-30,WFC,2015-08-05,2015-08-05 12:07:15,Q2,155000000,0.0,155000000,1.0,0.0,0.0,0.0,861000000,312000000,312000000,956000000,831000000,9380000000,60.5161290323,8549000000,55.1548387097,-86000000,8549000000,55.1548387097,2763000000,5719000000,36.8967741935,1.04,1.03,5156100000,5233200000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000607/0000072971-15-000607-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000607/wfc-06302015x10q.htm
2015-03-31,WFC,2015-05-06,2015-05-06 12:42:05,Q1,132000000,0.0,132000000,1.0,0.0,0.0,0.0,861000000,312000000,312000000,977000000,727000000,8890000000,67.3484848485,8163000000,61.8409090909,53000000,8163000000,61.8409090909,2279000000,5804000000,43.9696969697,1.06,1.04,5160400000,5243600000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000497/0000072971-15-000497-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000497/wfc-03312015x10q.htm
2014-12-31,WFC,2015-02-25,2015-02-25 13:17:09,FY,127000000,0.0,127000000,1.0,0.0,0.0,0.0,2706000000,1674000000,1674000000,1003000000,582000000,8893000000,70.0236220472,8311000000,65.4409448819,932000000,8311000000,65.4409448819,2519000000,5709000000,44.9527559055,1.04,1.02,5237200000,5324400000,https://www.sec.gov/Archives/edgar/data/72971/000007297115000449/0000072971-15-000449-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297115000449/wfc-12312014x10k.htm
2014-09-30,WFC,2014-11-05,2014-11-05 12:33:38,Q3,137000000,0.0,137000000,1.0,0.0,0.0,0.0,0.0,342000000,342000000,1023000000,630000000,9227000000,67.3503649635,8597000000,62.7518248175,0.0,8597000000,62.7518248175,2642000000,5729000000,41.8175182482,1.04,1.02,5252200000,5339200000,https://www.sec.gov/Archives/edgar/data/72971/000007297114000597/0000072971-14-000597-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297114000597/wfc10q_20140930.htm
2014-06-30,WFC,2014-08-06,2014-08-06 12:33:49,Q2,129000000,0.0,129000000,1.0,0.0,0.0,0.0,0.0,349000000,349000000,1002000000,732000000,9387000000,72.7674418605,8655000000,67.0930232558,0.0,8655000000,67.0930232558,2869000000,5726000000,44.3875968992,1.02,1.01,5265600000,5353200000,https://www.sec.gov/Archives/edgar/data/72971/000007297114000518/0000072971-14-000518-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297114000518/wfc10q_20140630.htm
