date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-01-31,WMT,2020-03-20,2020-03-20 16:51:02,FY,141671000000,107748000000,33923000000,0.23944914626140848,0.0,28601000000,0.0,0.0,28601000000,136349000000,0.0,2828000000,8150000000,0.0575276520953,5322000000,0.0375659097486,962000000,5673000000,0.0400434810229,1379000000,4141000000,0.0292296941505,1.46,1.45,2850000000,2868000000,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/0000104169-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020.htm
2019-10-31,WMT,2019-12-04,2019-12-04 16:12:55,Q3,127991000000,95900000000,32091000000,0.2507285668523568,0.0,27373000000,0.0,0.0,27373000000,123273000000,0.0,2723000000,7441000000,0.0581369002508,4718000000,0.036861966857,244000000,6467000000,0.050526990179,1052000000,3288000000,0.0256893062793,1.16,1.15,2855000000,2872000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000088/0000104169-19-000088-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000088/wmtform10-qx103119.htm
2019-07-31,WMT,2019-09-06,2019-09-06 16:26:01,Q2,130377000000,97923000000,32454000000,0.24892427345313975,0.0,26871000000,0.0,0.0,26871000000,124794000000,0.0,2722000000,8305000000,0.063699885716,5583000000,0.0428219701328,989000000,2819000000,0.0216219118403,1233000000,3610000000,0.0276889328639,1.26,1.26,2861000000,2878000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000064/0000104169-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000064/wmtform10-qx7312019.htm
2019-04-30,WMT,2019-06-07,2019-06-07 16:41:29,Q1,123925000000,93034000000,30891000000,0.2492717369376639,0.0,25946000000,0.0,0.0,25946000000,118980000000,0.0,2714000000,7659000000,0.0618035101876,4945000000,0.0399031672382,837000000,5157000000,0.0416138793625,1251000000,3842000000,0.031002622554,1.34,1.33,2869000000,2886000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000024/0000104169-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000024/wmtform10-qx4302019.htm
2019-01-31,WMT,2019-03-28,2019-03-28 16:56:37,FY,138793000000,104907000000,33886000000,0.24414775961323698,0.0,27819000000,0.0,0.0,27819000000,132726000000,0.0,2731000000,8798000000,0.0633893640169,6067000000,0.0437125791647,202000000,5664000000,0.040808974516,1851000000,3687000000,0.0265647402967,1.27,1.25,2929000000,2945000000,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/0000104169-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmtform10-kx1312019.htm
2018-10-31,WMT,2018-11-30,2018-11-30 16:47:52,Q3,124894000000,93116000000,31778000000,0.25443976492065273,0.0,26792000000,0.0,0.0,26792000000,119908000000,0.0,2615000000,7601000000,0.0608596089484,4986000000,0.039921853732,997000000,2576000000,0.0206254904159,759000000,1710000000,0.0136916104857,0.58,0.58,2940000000,2956000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000110/0000104169-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000110/wmtform10-qx10312018.htm
2018-07-31,WMT,2018-09-06,2018-09-06 16:52:25,Q2,128028000000,95571000000,32457000000,0.2535148561252226,0.0,26707000000,0.0,0.0,26707000000,122278000000,0.0,2654000000,8404000000,0.0656418908364,5750000000,0.044912050489,969000000,398000000,0.00310869497297,1125000000,-727000000,-0.0056784453400818575,-0.29,-0.29,2948000000,2963000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000086/0000104169-18-000086-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000086/wmtform10-qx7312018.htm
2018-04-30,WMT,2018-06-04,2018-06-04 17:23:45,Q1,122690000000,91707000000,30983000000,0.2525307686037982,0.0,25829000000,0.0,0.0,25829000000,117536000000,0.0,2678000000,7832000000,0.0638356834298,5154000000,0.042008313636,1060000000,2822000000,0.0230010595811,546000000,2134000000,0.0173934305974,0.72,0.72,2950000000,2967000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000054/0000104169-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000054/wmtform10-qx4302018.htm
2018-01-31,WMT,2018-03-30,2018-03-30 16:01:22,FY,136267000000,102640000000,33627000000,0.24677287971409073,0.0,29160000000,0.0,0.0,29160000000,131800000000,0.0,2702000000,7169000000,0.0526099495843,4467000000,0.0327812309657,1117000000,2964000000,0.0217514145024,601000000,2175000000,0.0159613112492,0.73,0.74,2995000000,3010000000,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/0000104169-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/wmtform10-kx1312018.htm
2017-10-31,WMT,2017-12-01,2017-12-01 16:29:29,Q3,123179000000,91547000000,31632000000,0.25679701897238977,0.0,26868000000,0.0,0.0,26868000000,118415000000,0.0,2658000000,7422000000,0.0602537770237,4764000000,0.0386754235706,1043000000,2879000000,0.0233724904407,975000000,1749000000,0.0141988488298,0.59,0.58,3008000000,3021000000,https://www.sec.gov/Archives/edgar/data/104169/000010416917000081/0000104169-17-000081-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000081/wmtform10-qx10312017.htm
