date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-03-31,XOM,2020-05-06,2020-05-06 14:06:03,Q1,56158000000,0.0,56158000000,1.0,288000000,2579000000,0.0,8566000000,11433000000,56416000000,249000000,5819000000,5561000000,0.0990241817729,-258000000,-0.004594180704441042,249000000,-258000000,-0.004594180704441042,512000000,-258000000,-0.004594180704441042,-0.14,-0.14,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408820000037/0000034088-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408820000037/xom10q1q2020.htm
2019-12-31,XOM,2020-02-26,2020-02-26 16:15:19,FY,67173000000,0.0,67173000000,1.0,357000000,3048000000,0.0,9693000000,13098000000,60759000000,201000000,4923000000,11337000000,0.168773167791,6414000000,0.0954847929972,2972000000,6414000000,0.0954847929972,684000000,5690000000,0.0847066529707,1.33,1.33,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/0000034088-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/xom10k2019.htm
2019-09-30,XOM,2019-11-06,2019-11-06 13:34:22,Q3,65049000000,0.0,65049000000,1.0,299000000,2753000000,0.0,9205000000,12257000000,60328000000,232000000,4873000000,9594000000,0.147488816123,4721000000,0.0725760580485,431000000,4721000000,0.0725760580485,1474000000,3170000000,0.0487324939661,0.75,0.75,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000062/0000034088-19-000062-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000062/xom10q3q2019.htm
2019-06-30,XOM,2019-08-07,2019-08-07 12:55:10,Q2,69091000000,0.0,69091000000,1.0,333000000,2827000000,0.0,9835000000,12995000000,64459000000,216000000,4631000000,9263000000,0.134069560435,4632000000,0.06704201705,241000000,4632000000,0.06704201705,1241000000,3130000000,0.0453025719703,0.73,0.73,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000042/0000034088-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000042/xom10q2q2019.htm
2019-03-31,XOM,2019-05-02,2019-05-02 13:44:33,Q1,63625000000,0.0,63625000000,1.0,280000000,2770000000,0.0,9328000000,12378000000,59336000000,181000000,4571000000,8860000000,0.139253438114,4289000000,0.0674106090373,270000000,4289000000,0.0674106090373,1883000000,2350000000,0.0369351669941,0.55,0.55,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000017/0000034088-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000017/xom10q1q2019.htm
2018-12-31,XOM,2019-02-27,2019-02-27 16:19:37,FY,71895000000,0.0,71895000000,1.0,555000000,2848000000,0.0,10509000000,13912000000,63774000000,215000000,5028000000,13149000000,0.182891717087,8121000000,0.112956394742,1886000000,8121000000,0.112956394742,1915000000,6000000000,0.083455038598,1.41,1.41,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/0000034088-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408819000010/xom10k2018.htm
2018-09-30,XOM,2018-11-07,2018-11-07 12:29:54,Q3,76605000000,0.0,76605000000,1.0,292000000,2892000000,0.0,9404000000,12588000000,67525000000,200000000,4658000000,13738000000,0.17933555251,9080000000,0.118530122055,458000000,9080000000,0.118530122055,2634000000,6240000000,0.0814568239671,1.46,1.46,4271000000,4271000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000048/0000034088-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000048/xom10q3q2018.htm
2018-06-30,XOM,2018-08-02,2018-08-02 12:13:22,Q2,73501000000,0.0,73501000000,1.0,332000000,2993000000,0.0,9226000000,12551000000,66989000000,147000000,4589000000,11101000000,0.151031958749,6512000000,0.0885974340485,316000000,6512000000,0.0885974340485,2526000000,3950000000,0.0537407654318,0.92,0.92,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000039/0000034088-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000039/xom10q2q2018.htm
2018-03-31,XOM,2018-05-03,2018-05-03 12:16:43,Q1,68211000000,0.0,68211000000,1.0,287000000,2747000000,0.0,8828000000,11862000000,60971000000,204000000,4470000000,11710000000,0.171673190541,7240000000,0.106141238217,865000000,7240000000,0.106141238217,2457000000,4650000000,0.0681708228878,1.09,1.09,4270000000,4270000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000024/0000034088-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000024/xom10q1q2018.htm
2017-12-31,XOM,2018-02-28,2018-02-28 16:39:51,FY,52035000000,0.0,52035000000,1.0,703000000,3004000000,0.0,8251000000,11958000000,49018000000,186000000,5842000000,8859000000,0.170250792736,3017000000,0.0579802056308,530000000,3017000000,0.0579802056308,-5392000000,8380000000,0.161045450178,1.97,1.97,4256000000,4256000000,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/0000034088-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408818000015/xom10k2017.htm
