ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600609.SH,20200601,5.66,5.85,5.56,5.69,5.61,0.08,1.426,250660.84,142416.178
600609.SH,20200529,5.1,5.61,5.06,5.61,5.1,0.51,10.0,340098.87,184662.81
600609.SH,20200528,5.09,5.16,5.02,5.1,5.11,-0.01,-0.1957,74179.85,37727.65
600609.SH,20200527,5.07,5.24,5.01,5.11,5.07,0.04,0.789,115490.99,58948.127
600609.SH,20200526,5.07,5.17,5.05,5.07,5.1,-0.03,-0.5882,77016.95,39268.602
600609.SH,20200525,5.2,5.32,5.02,5.1,5.13,-0.03,-0.5848,115565.09,59569.195
600609.SH,20200522,5.25,5.48,5.08,5.13,5.22,-0.09,-1.7241,153706.25,80276.795
600609.SH,20200521,4.96,5.4,4.95,5.22,4.98,0.24,4.8193,240209.43,124685.966
600609.SH,20200520,5.01,5.1,4.93,4.98,5.05,-0.07,-1.3861,109919.23,55167.171
600609.SH,20200519,4.95,5.12,4.91,5.05,4.98,0.07,1.4056,112953.51,56709.687
600609.SH,20200518,4.98,5.15,4.88,4.98,4.97,0.01,0.2012,132352.38,66621.817
600609.SH,20200515,4.94,5.07,4.8,4.97,4.83,0.14,2.8986,182790.44,90160.926
600609.SH,20200514,4.51,4.96,4.5,4.83,4.59,0.24,5.2288,152278.98,72174.86
600609.SH,20200513,4.49,4.61,4.44,4.59,4.54,0.05,1.1013,75325.73,34136.657
600609.SH,20200512,4.52,4.63,4.44,4.54,4.52,0.02,0.4425,80735.21,36673.91
600609.SH,20200511,4.65,4.73,4.45,4.52,4.59,-0.07,-1.5251,120884.98,55303.547
600609.SH,20200508,4.56,4.71,4.54,4.59,4.53,0.06,1.3245,104874.64,48465.645
600609.SH,20200507,4.57,4.59,4.5,4.53,4.57,-0.04,-0.8753,71630.42,32492.027
600609.SH,20200506,4.49,4.6,4.4,4.57,4.51,0.06,1.3304,112879.91,50994.881
600609.SH,20200430,4.42,4.57,4.33,4.51,4.46,0.05,1.1211,132832.53,59458.104
600609.SH,20200429,4.48,4.54,4.38,4.46,4.46,0.0,0.0,120159.69,53634.453
600609.SH,20200428,4.85,4.86,4.35,4.46,4.8,-0.34,-7.0833,211068.21,96195.775
600609.SH,20200427,5.09,5.1,4.75,4.8,5.07,-0.27,-5.3254,163169.79,79768.736
600609.SH,20200424,5.14,5.4,5.01,5.07,5.25,-0.18,-3.4286,209402.79,107851.625
600609.SH,20200423,5.12,5.3,5.01,5.25,5.13,0.12,2.3392,213448.94,110644.461
600609.SH,20200422,5.1,5.36,5.01,5.13,5.05,0.08,1.5842,273595.85,141856.096
600609.SH,20200421,4.92,5.48,4.89,5.05,5.01,0.04,0.7984,372990.32,193883.454
600609.SH,20200420,4.75,5.08,4.59,5.01,4.79,0.22,4.5929,310858.35,150181.889
600609.SH,20200417,4.49,4.81,4.3,4.79,4.46,0.33,7.3991,285060.57,130433.275
600609.SH,20200416,4.56,4.58,4.43,4.46,4.66,-0.2,-4.2918,216817.31,97354.514
600609.SH,20200415,4.72,4.93,4.52,4.66,4.8,-0.14,-2.9167,351926.71,163563.073
600609.SH,20200414,4.71,5.17,4.7,4.8,4.7,0.1,2.1277,503013.31,250729.362
600609.SH,20200413,4.6,4.73,4.5,4.7,4.73,-0.03,-0.6342,209630.46,96814.708
600609.SH,20200410,4.7,4.89,4.52,4.73,4.65,0.08,1.7204,488504.74,229621.624
600609.SH,20200409,4.2,4.65,4.17,4.65,4.23,0.42,9.9291,372435.65,169265.068
600609.SH,20200408,4.02,4.23,3.97,4.23,4.04,0.19,4.703,240844.03,99528.44
600609.SH,20200407,4.0,4.06,3.97,4.04,3.98,0.06,1.5075,94827.6,38068.6
600609.SH,20200403,4.16,4.16,3.96,3.98,4.17,-0.19,-4.5564,151868.92,61330.771
600609.SH,20200402,4.07,4.24,4.06,4.17,4.13,0.04,0.9685,165910.47,68957.811
600609.SH,20200401,4.0,4.15,3.98,4.13,3.98,0.15,3.7688,156902.29,64137.109
600609.SH,20200331,4.06,4.08,3.96,3.98,4.01,-0.03,-0.7481,55961.79,22397.747
600609.SH,20200330,3.95,4.07,3.9,4.01,4.0,0.01,0.25,83278.11,33163.409
600609.SH,20200327,4.16,4.19,3.92,4.0,4.13,-0.13,-3.1477,120320.58,48951.116
600609.SH,20200326,4.14,4.18,4.08,4.13,4.19,-0.06,-1.432,107718.83,44383.974
600609.SH,20200325,4.07,4.22,4.05,4.19,4.05,0.14,3.4568,183641.65,76393.616
600609.SH,20200324,3.99,4.09,3.76,4.05,3.9,0.15,3.8462,111315.12,44161.236
600609.SH,20200323,4.04,4.1,3.89,3.9,4.13,-0.23,-5.569,110972.41,44232.809
600609.SH,20200320,4.13,4.16,4.03,4.13,4.11,0.02,0.4866,175289.08,72064.563
600609.SH,20200319,4.06,4.11,3.93,4.11,4.0,0.11,2.75,137994.93,55579.633
600609.SH,20200318,3.93,4.18,3.89,4.0,3.92,0.08,2.0408,186562.51,76166.356
600609.SH,20200317,3.87,3.96,3.76,3.92,3.87,0.05,1.292,95985.5,37008.925
600609.SH,20200316,4.08,4.15,3.86,3.87,4.07,-0.2,-4.914,92651.39,36991.62
600609.SH,20200313,3.7,4.08,3.66,4.07,3.93,0.14,3.5623,163716.7,64020.235
600609.SH,20200312,3.9,4.02,3.77,3.93,3.93,0.0,0.0,115108.01,44567.275
600609.SH,20200311,3.89,4.05,3.88,3.93,3.88,0.05,1.2887,91144.31,36202.626
600609.SH,20200310,3.66,3.88,3.66,3.88,3.88,0.0,0.0,115622.37,43846.838
600609.SH,20200309,4.05,4.07,3.88,3.88,4.04,-0.16,-3.9604,110780.5,43810.375
600609.SH,20200306,4.0,4.07,3.99,4.04,4.04,0.0,0.0,84185.23,33871.222
600609.SH,20200305,4.07,4.14,4.0,4.04,4.04,0.0,0.0,87469.01,35442.228
600609.SH,20200304,4.0,4.07,3.96,4.04,4.05,-0.01,-0.2469,76784.0,30749.144
600609.SH,20200303,4.1,4.19,4.03,4.05,4.07,-0.02,-0.4914,117731.55,48462.689
600609.SH,20200302,4.0,4.11,3.92,4.07,3.93,0.14,3.5623,121294.46,48834.712
600609.SH,20200228,4.1,4.28,3.93,3.93,4.37,-0.44,-10.0686,191339.29,78389.421
600609.SH,20200227,4.21,4.48,4.16,4.37,4.13,0.24,5.8111,229182.46,99768.158
600609.SH,20200226,4.01,4.3,4.01,4.13,4.09,0.04,0.978,256423.2,106348.492
600609.SH,20200225,3.85,4.22,3.81,4.09,3.92,0.17,4.3367,264176.11,106346.86
600609.SH,20200224,3.76,4.08,3.71,3.92,3.82,0.1,2.6178,207464.59,80381.729
600609.SH,20200221,3.65,3.87,3.6,3.82,3.64,0.18,4.9451,178260.35,66570.575
600609.SH,20200220,3.62,3.65,3.56,3.64,3.61,0.03,0.831,62505.05,22570.876
600609.SH,20200219,3.6,3.66,3.58,3.61,3.62,-0.01,-0.2762,43196.59,15654.915
600609.SH,20200218,3.55,3.63,3.55,3.62,3.55,0.07,1.9718,59768.64,21489.61
600609.SH,20200217,3.5,3.58,3.48,3.55,3.47,0.08,2.3055,72091.64,25573.527
600609.SH,20200214,3.47,3.51,3.47,3.47,3.47,0.0,0.0,31270.38,10901.158
600609.SH,20200213,3.55,3.59,3.44,3.47,3.58,-0.11,-3.0726,72344.0,25396.011
600609.SH,20200212,3.52,3.59,3.49,3.58,3.58,0.0,0.0,52597.1,18714.171
600609.SH,20200211,3.71,3.71,3.57,3.58,3.71,-0.13,-3.504,76182.69,27662.053
600609.SH,20200210,3.59,3.77,3.51,3.71,3.59,0.12,3.3426,55661.81,20571.711
600609.SH,20200207,3.56,3.62,3.54,3.59,3.6,-0.01,-0.2778,32565.84,11656.56
600609.SH,20200206,3.66,3.66,3.53,3.6,3.64,-0.04,-1.0989,57357.6,20606.349
600609.SH,20200205,3.73,3.8,3.6,3.64,3.75,-0.11,-2.9333,90060.72,33179.282
600609.SH,20200204,3.16,3.82,3.16,3.75,3.51,0.24,6.8376,166389.72,57999.744
600609.SH,20200203,3.51,3.51,3.51,3.51,3.9,-0.39,-10.0,13325.0,4677.075
600609.SH,20200123,3.95,3.95,3.84,3.9,3.97,-0.07,-1.7632,45765.98,17773.819
600609.SH,20200122,4.01,4.01,3.93,3.97,4.02,-0.05,-1.2438,49352.22,19529.091
600609.SH,20200121,4.03,4.05,3.92,4.02,4.03,-0.01,-0.2481,61752.09,24586.331
600609.SH,20200120,3.9,4.21,3.9,4.03,3.83,0.2,5.2219,97513.55,39233.514
600609.SH,20200117,3.87,3.9,3.8,3.83,3.89,-0.06,-1.5424,34959.79,13418.113
600609.SH,20200116,3.88,3.92,3.85,3.89,3.87,0.02,0.5168,41153.87,15970.775
600609.SH,20200115,3.98,3.98,3.86,3.87,3.96,-0.09,-2.2727,48150.78,18735.833
600609.SH,20200114,4.0,4.02,3.95,3.96,3.99,-0.03,-0.7519,34780.32,13835.954
600609.SH,20200113,4.0,4.03,3.98,3.99,3.99,0.0,0.0,33103.19,13261.92
600609.SH,20200110,4.0,4.04,3.95,3.99,4.01,-0.02,-0.4988,31523.74,12546.652
600609.SH,20200109,4.01,4.09,3.98,4.01,3.99,0.02,0.5013,48521.55,19480.668
600609.SH,20200108,4.07,4.11,3.98,3.99,4.07,-0.08,-1.9656,61370.42,24856.115
600609.SH,20200107,4.09,4.12,4.05,4.07,4.09,-0.02,-0.489,35492.37,14472.524
600609.SH,20200106,4.11,4.13,4.0,4.09,4.1,-0.01,-0.2439,48243.42,19676.304
600609.SH,20200103,4.01,4.14,4.01,4.1,4.03,0.07,1.737,89849.86,36576.269
600609.SH,20200102,4.02,4.05,3.94,4.03,3.96,0.07,1.7677,77836.07,31127.997
600609.SH,20191231,4.0,4.08,3.94,3.96,4.0,-0.04,-1.0,46888.18,18628.719
600609.SH,20191230,3.91,4.1,3.91,4.0,3.94,0.06,1.5228,93115.36,37443.121
600609.SH,20191227,3.86,4.05,3.84,3.94,3.85,0.09,2.3377,82953.93,32849.013
600609.SH,20191226,3.82,3.88,3.78,3.85,3.82,0.03,0.7853,46500.47,17857.066
600609.SH,20191225,3.76,3.91,3.75,3.82,3.78,0.04,1.0582,74555.83,28514.17
600609.SH,20191224,3.73,3.79,3.73,3.78,3.76,0.02,0.5319,31853.01,11982.211
600609.SH,20191223,3.8,3.81,3.74,3.76,3.8,-0.04,-1.0526,34491.97,13017.541
600609.SH,20191220,3.79,3.83,3.79,3.8,3.8,0.0,0.0,30131.81,11476.781
600609.SH,20191219,3.76,3.81,3.76,3.8,3.78,0.02,0.5291,34032.31,12891.912
600609.SH,20191218,3.8,3.85,3.76,3.78,3.8,-0.02,-0.5263,62704.27,23834.24
600609.SH,20191217,3.76,3.85,3.75,3.8,3.77,0.03,0.7958,63290.31,24020.889
600609.SH,20191216,3.76,3.79,3.72,3.77,3.76,0.01,0.266,41912.01,15719.977
600609.SH,20191213,3.75,3.81,3.74,3.76,3.74,0.02,0.5348,30670.32,11545.778
600609.SH,20191212,3.74,3.82,3.7,3.74,3.74,0.0,0.0,43152.94,16193.092
600609.SH,20191211,3.76,3.78,3.73,3.74,3.75,-0.01,-0.2667,28804.22,10813.693
600609.SH,20191210,3.75,3.76,3.71,3.75,3.75,0.0,0.0,19573.34,7314.844
600609.SH,20191209,3.74,3.77,3.7,3.75,3.74,0.01,0.2674,17001.08,6344.141
600609.SH,20191206,3.74,3.76,3.72,3.74,3.75,-0.01,-0.2667,13487.15,5037.278
600609.SH,20191205,3.76,3.78,3.72,3.75,3.74,0.01,0.2674,17808.59,6665.233
600609.SH,20191204,3.71,3.76,3.69,3.74,3.75,-0.01,-0.2667,20107.11,7500.28
600609.SH,20191203,3.7,3.8,3.62,3.75,3.73,0.02,0.5362,26603.94,9919.24
600609.SH,20191202,3.7,3.81,3.7,3.73,3.75,-0.02,-0.5333,19337.4,7226.143
600609.SH,20191129,3.75,3.76,3.71,3.75,3.75,0.0,0.0,19972.72,7454.873
